Region,Work_load,primary_key,Work_1989
"111160221: União das freguesias de Arga (Baixo, Cima e São João)",Mão-de-obra agrícola total,"111160221: União das freguesias de Arga (Baixo, Cima e São João)Mão-de-obra agrícola total",66
,Mão-de-obra agrícola familiar,,62
,Produtor,,28
,Cônjuge,,16
,Outros membros da família,,17
,Mão-de-obra agrícola não familiar,,4
,Permanente,,3
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160222: União das freguesias de Caminha (Matriz) e Vilarelho,Mão-de-obra agrícola total,111160222: União das freguesias de Caminha (Matriz) e VilarelhoMão-de-obra agrícola total,19
,Mão-de-obra agrícola familiar,,17
,Produtor,,10
,Cônjuge,,4
,Outros membros da família,,3
,Mão-de-obra agrícola não familiar,,2
,Permanente,,1
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160223: União das freguesias de Gondar e Orbacém,Mão-de-obra agrícola total,111160223: União das freguesias de Gondar e OrbacémMão-de-obra agrícola total,31
,Mão-de-obra agrícola familiar,,29
,Produtor,,14
,Cônjuge,,7
,Outros membros da família,,8
,Mão-de-obra agrícola não familiar,,2
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160224: União das freguesias de Moledo e Cristelo,Mão-de-obra agrícola total,111160224: União das freguesias de Moledo e CristeloMão-de-obra agrícola total,16
,Mão-de-obra agrícola familiar,,15
,Produtor,,7
,Cônjuge,,4
,Outros membros da família,,4
,Mão-de-obra agrícola não familiar,,1
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160225: União das freguesias de Venade e Azevedo,Mão-de-obra agrícola total,111160225: União das freguesias de Venade e AzevedoMão-de-obra agrícola total,41
,Mão-de-obra agrícola familiar,,36
,Produtor,,18
,Cônjuge,,7
,Outros membros da família,,11
,Mão-de-obra agrícola não familiar,,5
,Permanente,,3
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160217: Vila Praia de Âncora,Mão-de-obra agrícola total,111160217: Vila Praia de ÂncoraMão-de-obra agrícola total,21
,Mão-de-obra agrícola familiar,,15
,Produtor,,7
,Cônjuge,,4
,Outros membros da família,,4
,Mão-de-obra agrícola não familiar,,6
,Permanente,,5
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160218: Vilar de Mouros,Mão-de-obra agrícola total,111160218: Vilar de MourosMão-de-obra agrícola total,11
,Mão-de-obra agrícola familiar,,7
,Produtor,,3
,Cônjuge,,3
,Outros membros da família,,1
,Mão-de-obra agrícola não familiar,,4
,Permanente,,2
,Eventual,,2
,Mão-de-obra não contratada pelo produtor,,0
111160220: Vile,Mão-de-obra agrícola total,111160220: VileMão-de-obra agrícola total,70
,Mão-de-obra agrícola familiar,,27
,Produtor,,11
,Cônjuge,,7
,Outros membros da família,,9
,Mão-de-obra agrícola não familiar,,43
,Permanente,,36
,Eventual,,7
,Mão-de-obra não contratada pelo produtor,,0
1111603: Melgaço,Mão-de-obra agrícola total,1111603: MelgaçoMão-de-obra agrícola total,980
,Mão-de-obra agrícola familiar,,878
,Produtor,,493
,Cônjuge,,259
,Outros membros da família,,126
,Mão-de-obra agrícola não familiar,,101
,Permanente,,52
,Eventual,,45
,Mão-de-obra não contratada pelo produtor,,4
111160301: Alvaredo,Mão-de-obra agrícola total,111160301: AlvaredoMão-de-obra agrícola total,142
,Mão-de-obra agrícola familiar,,103
,Produtor,,58
,Cônjuge,,34
,Outros membros da família,,11
,Mão-de-obra agrícola não familiar,,39
,Permanente,,26
,Eventual,,12
,Mão-de-obra não contratada pelo produtor,,0
111160304: Cousso,Mão-de-obra agrícola total,111160304: CoussoMão-de-obra agrícola total,24
,Mão-de-obra agrícola familiar,,23
,Produtor,,14
,Cônjuge,,8
,Outros membros da família,,1
,Mão-de-obra agrícola não familiar,,0
,Permanente,,0
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160305: Cristoval,Mão-de-obra agrícola total,111160305: CristovalMão-de-obra agrícola total,22
,Mão-de-obra agrícola familiar,,21
,Produtor,,11
,Cônjuge,,7
,Outros membros da família,,4
,Mão-de-obra agrícola não familiar,,0
,Permanente,,0
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160307: Fiães,Mão-de-obra agrícola total,111160307: FiãesMão-de-obra agrícola total,31
,Mão-de-obra agrícola familiar,,30
,Produtor,,15
,Cônjuge,,9
,Outros membros da família,,6
,Mão-de-obra agrícola não familiar,,1
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160308: Gave,Mão-de-obra agrícola total,111160308: GaveMão-de-obra agrícola total,22
,Mão-de-obra agrícola familiar,,22
,Produtor,,13
,Cônjuge,,4
,Outros membros da família,,4
,Mão-de-obra agrícola não familiar,,1
,Permanente,,1
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160311: Paderne,Mão-de-obra agrícola total,111160311: PaderneMão-de-obra agrícola total,161
,Mão-de-obra agrícola familiar,,141
,Produtor,,80
,Cônjuge,,29
,Outros membros da família,,31
,Mão-de-obra agrícola não familiar,,20
,Permanente,,9
,Eventual,,10
,Mão-de-obra não contratada pelo produtor,,1
111160313: Penso,Mão-de-obra agrícola total,111160313: PensoMão-de-obra agrícola total,77
,Mão-de-obra agrícola familiar,,70
,Produtor,,40
,Cônjuge,,24
,Outros membros da família,,7
,Mão-de-obra agrícola não familiar,,7
,Permanente,,2
,Eventual,,5
,Mão-de-obra não contratada pelo produtor,,0
111160317: São Paio,Mão-de-obra agrícola total,111160317: São PaioMão-de-obra agrícola total,75
,Mão-de-obra agrícola familiar,,71
,Produtor,,38
,Cônjuge,,21
,Outros membros da família,,12
,Mão-de-obra agrícola não familiar,,4
,Permanente,,1
,Eventual,,3
,Mão-de-obra não contratada pelo produtor,,0
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro,Mão-de-obra agrícola total,111160319: União das freguesias de Castro Laboreiro e Lamas de MouroMão-de-obra agrícola total,152
,Mão-de-obra agrícola familiar,,150
,Produtor,,91
,Cônjuge,,40
,Outros membros da família,,19
,Mão-de-obra agrícola não familiar,,3
,Permanente,,1
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160320: União das freguesias de Chaviães e Paços,Mão-de-obra agrícola total,111160320: União das freguesias de Chaviães e PaçosMão-de-obra agrícola total,53
,Mão-de-obra agrícola familiar,,46
,Produtor,,24
,Cônjuge,,17
,Outros membros da família,,6
,Mão-de-obra agrícola não familiar,,7
,Permanente,,4
,Eventual,,3
,Mão-de-obra não contratada pelo produtor,,1
111160321: União das freguesias de Parada do Monte e Cubalhão,Mão-de-obra agrícola total,111160321: União das freguesias de Parada do Monte e CubalhãoMão-de-obra agrícola total,59
,Mão-de-obra agrícola familiar,,59
,Produtor,,31
,Cônjuge,,20
,Outros membros da família,,8
,Mão-de-obra agrícola não familiar,,0
,Permanente,,0
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
