primary_key,codes,Perm_crop,year,Nr
5269,111160908,Cereals,1989,117
5270,111160908,Cereals,1999,39
5271,111160908,Cereals,2009,35
5272,111160908,Cereals,2019,20
5273,111160908,Dried pulses,1989,117
5274,111160908,Dried pulses,1999,24
5275,111160908,Dried pulses,2009,5
5276,111160908,Dried pulses,2019,
5277,111160908,Potatoes,1989,120
5278,111160908,Potatoes,1999,39
5279,111160908,Potatoes,2009,14
5280,111160908,Potatoes,2019,11
5281,111160908,Industrial crops,1989,
5282,111160908,Industrial crops,1999,
5283,111160908,Industrial crops,2009,
5284,111160908,Industrial crops,2019,1
5285,111160908,Fresh vegetables,1989,12
5286,111160908,Fresh vegetables,1999,
5287,111160908,Fresh vegetables,2009,1
5288,111160908,Fresh vegetables,2019,
5289,111160908,Other temporary crops,1989,66
5290,111160908,Other temporary crops,1999,
5291,111160908,Other temporary crops,2009,
5292,111160908,Other temporary crops,2019,
5293,111160910,Total,1989,327
5294,111160910,Total,1999,93
5295,111160910,Total,2009,38
5296,111160910,Total,2019,49
5297,111160910,Cereals,1989,296
5298,111160910,Cereals,1999,90
5299,111160910,Cereals,2009,35
5300,111160910,Cereals,2019,32
5301,111160910,Dried pulses,1989,279
5302,111160910,Dried pulses,1999,40
5303,111160910,Dried pulses,2009,36
5304,111160910,Dried pulses,2019,3
5305,111160910,Potatoes,1989,311
5306,111160910,Potatoes,1999,88
5307,111160910,Potatoes,2009,38
5308,111160910,Potatoes,2019,14
5309,111160910,Industrial crops,1989,
5310,111160910,Industrial crops,1999,
5311,111160910,Industrial crops,2009,
5312,111160910,Industrial crops,2019,
5313,111160910,Fresh vegetables,1989,61
5314,111160910,Fresh vegetables,1999,7
5315,111160910,Fresh vegetables,2009,3
5316,111160910,Fresh vegetables,2019,3
5317,111160910,Other temporary crops,1989,263
5318,111160910,Other temporary crops,1999,2
5319,111160910,Other temporary crops,2009,
5320,111160910,Other temporary crops,2019,
5321,111160940,Total,1989,166
5322,111160940,Total,1999,52
5323,111160940,Total,2009,26
5324,111160940,Total,2019,45
5325,111160940,Cereals,1989,136
5326,111160940,Cereals,1999,40
5327,111160940,Cereals,2009,22
5328,111160940,Cereals,2019,28
5329,111160940,Dried pulses,1989,87
5330,111160940,Dried pulses,1999,6
5331,111160940,Dried pulses,2009,5
5332,111160940,Dried pulses,2019,2
5333,111160940,Potatoes,1989,150
5334,111160940,Potatoes,1999,25
5335,111160940,Potatoes,2009,13
5336,111160940,Potatoes,2019,12
5337,111160940,Industrial crops,1989,
5338,111160940,Industrial crops,1999,
5339,111160940,Industrial crops,2009,
5340,111160940,Industrial crops,2019,
5341,111160940,Fresh vegetables,1989,52
5342,111160940,Fresh vegetables,1999,15
5343,111160940,Fresh vegetables,2009,6
5344,111160940,Fresh vegetables,2019,2
5345,111160940,Other temporary crops,1989,133
5346,111160940,Other temporary crops,1999,45
5347,111160940,Other temporary crops,2009,2
5348,111160940,Other temporary crops,2019,
5349,111160911,Total,1989,57
5350,111160911,Total,1999,13
5351,111160911,Total,2009,3
5352,111160911,Total,2019,8
5353,111160911,Cereals,1989,35
5354,111160911,Cereals,1999,6
5355,111160911,Cereals,2009,3
5356,111160911,Cereals,2019,4
5357,111160911,Dried pulses,1989,17
5358,111160911,Dried pulses,1999,3
5359,111160911,Dried pulses,2009,
5360,111160911,Dried pulses,2019,3
5361,111160911,Potatoes,1989,47
5362,111160911,Potatoes,1999,7
5363,111160911,Potatoes,2009,2
5364,111160911,Potatoes,2019,4
