primary_key,codes,Sex,year,No
530,111160209,MF,1999,259
531,111160209,MF,2009,130
532,111160209,MF,2019,76
533,111160209,M,1989,179
534,111160209,M,1999,122
535,111160209,M,2009,65
536,111160209,M,2019,37
537,111160209,F,1989,206
538,111160209,F,1999,137
539,111160209,F,2009,65
540,111160209,F,2019,39
541,111160211,MF,1989,315
542,111160211,MF,1999,68
543,111160211,MF,2009,31
544,111160211,MF,2019,17
545,111160211,M,1989,155
546,111160211,M,1999,33
547,111160211,M,2009,17
548,111160211,M,2019,9
549,111160211,F,1989,160
550,111160211,F,1999,35
551,111160211,F,2009,14
552,111160211,F,2019,8
553,111160214,MF,1989,550
554,111160214,MF,1999,314
555,111160214,MF,2009,155
556,111160214,MF,2019,129
557,111160214,M,1989,248
558,111160214,M,1999,152
559,111160214,M,2009,67
560,111160214,M,2019,62
561,111160214,F,1989,302
562,111160214,F,1999,162
563,111160214,F,2009,88
564,111160214,F,2019,67
565,111160215,MF,1989,188
566,111160215,MF,1999,54
567,111160215,MF,2009,18
568,111160215,MF,2019,9
569,111160215,M,1989,82
570,111160215,M,1999,24
571,111160215,M,2009,8
572,111160215,M,2019,5
573,111160215,F,1989,106
574,111160215,F,1999,30
575,111160215,F,2009,10
576,111160215,F,2019,4
577,111160221,MF,1989,305
578,111160221,MF,1999,230
579,111160221,MF,2009,125
580,111160221,MF,2019,114
581,111160221,M,1989,114
582,111160221,M,1999,96
583,111160221,M,2009,54
584,111160221,M,2019,51
585,111160221,F,1989,191
586,111160221,F,1999,134
587,111160221,F,2009,71
588,111160221,F,2019,63
589,111160222,MF,1989,164
590,111160222,MF,1999,53
591,111160222,MF,2009,47
592,111160222,MF,2019,44
593,111160222,M,1989,65
594,111160222,M,1999,27
595,111160222,M,2009,23
596,111160222,M,2019,21
597,111160222,F,1989,99
598,111160222,F,1999,26
599,111160222,F,2009,24
600,111160222,F,2019,23
601,111160223,MF,1989,473
602,111160223,MF,1999,360
603,111160223,MF,2009,275
604,111160223,MF,2019,144
605,111160223,M,1989,213
606,111160223,M,1999,162
607,111160223,M,2009,131
608,111160223,M,2019,66
609,111160223,F,1989,260
610,111160223,F,1999,198
611,111160223,F,2009,144
612,111160223,F,2019,78
613,111160224,MF,1989,184
614,111160224,MF,1999,65
615,111160224,MF,2009,30
616,111160224,MF,2019,38
617,111160224,M,1989,84
618,111160224,M,1999,28
619,111160224,M,2009,10
620,111160224,M,2019,14
621,111160224,F,1989,100
622,111160224,F,1999,37
623,111160224,F,2009,20
624,111160224,F,2019,24
625,111160225,MF,1989,545
626,111160225,MF,1999,242
627,111160225,MF,2009,177
628,111160225,MF,2019,141
629,111160225,M,1989,241
630,111160225,M,1999,104
631,111160225,M,2009,80
632,111160225,M,2019,63
633,111160225,F,1989,304
634,111160225,F,1999,138
635,111160225,F,2009,97
636,111160225,F,2019,78
637,111160217,MF,1989,223
638,111160217,MF,1999,97
