primary_key,codes,age,year,No
51799,16E0612,65 and more years,2009,491
51800,16E0612,65 and more years,2019,334
51801,16E061201,Total,1989,100
51802,16E061201,Total,1999,54
51803,16E061201,Total,2009,66
51804,16E061201,Total,2019,16
51805,16E061201,16 - 24 years,1989,7
51806,16E061201,16 - 24 years,1999,3
51807,16E061201,16 - 24 years,2009,
51808,16E061201,16 - 24 years,2019,
51809,16E061201,25 - 34 years,1989,1
51810,16E061201,25 - 34 years,1999,2
51811,16E061201,25 - 34 years,2009,
51812,16E061201,25 - 34 years,2019,
51813,16E061201,35 - 44 years,1989,5
51814,16E061201,35 - 44 years,1999,1
51815,16E061201,35 - 44 years,2009,4
51816,16E061201,35 - 44 years,2019,
51817,16E061201,45 - 54 years,1989,16
51818,16E061201,45 - 54 years,1999,5
51819,16E061201,45 - 54 years,2009,4
51820,16E061201,45 - 54 years,2019,
51821,16E061201,55 - 64 years,1989,39
51822,16E061201,55 - 64 years,1999,13
51823,16E061201,55 - 64 years,2009,9
51824,16E061201,55 - 64 years,2019,4
51825,16E061201,65 and more years,1989,32
51826,16E061201,65 and more years,1999,30
51827,16E061201,65 and more years,2009,49
51828,16E061201,65 and more years,2019,12
51829,16E061202,Total,1989,272
51830,16E061202,Total,1999,101
51831,16E061202,Total,2009,92
51832,16E061202,Total,2019,60
51833,16E061202,16 - 24 years,1989,67
51834,16E061202,16 - 24 years,1999,23
51835,16E061202,16 - 24 years,2009,10
51836,16E061202,16 - 24 years,2019,1
51837,16E061202,25 - 34 years,1989,30
51838,16E061202,25 - 34 years,1999,11
51839,16E061202,25 - 34 years,2009,7
51840,16E061202,25 - 34 years,2019,3
51841,16E061202,35 - 44 years,1989,37
51842,16E061202,35 - 44 years,1999,8
51843,16E061202,35 - 44 years,2009,5
51844,16E061202,35 - 44 years,2019,6
51845,16E061202,45 - 54 years,1989,48
51846,16E061202,45 - 54 years,1999,11
51847,16E061202,45 - 54 years,2009,15
51848,16E061202,45 - 54 years,2019,9
51849,16E061202,55 - 64 years,1989,38
51850,16E061202,55 - 64 years,1999,25
51851,16E061202,55 - 64 years,2009,14
51852,16E061202,55 - 64 years,2019,14
51853,16E061202,65 and more years,1989,52
51854,16E061202,65 and more years,1999,23
51855,16E061202,65 and more years,2009,41
51856,16E061202,65 and more years,2019,27
51857,16E061211,Total,1989,193
51858,16E061211,Total,1999,85
51859,16E061211,Total,2009,52
51860,16E061211,Total,2019,53
51861,16E061211,16 - 24 years,1989,26
51862,16E061211,16 - 24 years,1999,14
51863,16E061211,16 - 24 years,2009,2
51864,16E061211,16 - 24 years,2019,4
51865,16E061211,25 - 34 years,1989,8
51866,16E061211,25 - 34 years,1999,5
51867,16E061211,25 - 34 years,2009,3
51868,16E061211,25 - 34 years,2019,2
51869,16E061211,35 - 44 years,1989,12
51870,16E061211,35 - 44 years,1999,13
51871,16E061211,35 - 44 years,2009,2
51872,16E061211,35 - 44 years,2019,7
51873,16E061211,45 - 54 years,1989,40
51874,16E061211,45 - 54 years,1999,9
51875,16E061211,45 - 54 years,2009,7
51876,16E061211,45 - 54 years,2019,10
51877,16E061211,55 - 64 years,1989,43
51878,16E061211,55 - 64 years,1999,21
51879,16E061211,55 - 64 years,2009,9
51880,16E061211,55 - 64 years,2019,14
51881,16E061211,65 and more years,1989,64
51882,16E061211,65 and more years,1999,23
51883,16E061211,65 and more years,2009,29
51884,16E061211,65 and more years,2019,16
51885,16E061204,Total,1989,452
51886,16E061204,Total,1999,177
51887,16E061204,Total,2009,154
51888,16E061204,Total,2019,115
51889,16E061204,16 - 24 years,1989,85
51890,16E061204,16 - 24 years,1999,35
51891,16E061204,16 - 24 years,2009,2
51892,16E061204,16 - 24 years,2019,2
51893,16E061204,25 - 34 years,1989,37
51894,16E061204,25 - 34 years,1999,3
51895,16E061204,25 - 34 years,2009,5
51896,16E061204,25 - 34 years,2019,3
51897,16E061204,35 - 44 years,1989,69
