primary_key,codes,Livestock,year,No_und
473,111160142,Rabbits,1989,102
474,111160142,Rabbits,1999,177
475,111160142,Rabbits,2009,84
476,111160142,Rabbits,2019,22
477,111160142,Inhabited hives and traditional cork hives,1989,19
478,111160142,Inhabited hives and traditional cork hives,1999,4
479,111160142,Inhabited hives and traditional cork hives,2009,6
480,111160142,Inhabited hives and traditional cork hives,2019,137
481,111160121,Cattle,1989,291
482,111160121,Cattle,1999,164
483,111160121,Cattle,2009,115
484,111160121,Cattle,2019,116
485,111160121,Pigs,1989,86
486,111160121,Pigs,1999,23
487,111160121,Pigs,2009,12
488,111160121,Pigs,2019,8
489,111160121,Sheep,1989,215
490,111160121,Sheep,1999,436
491,111160121,Sheep,2009,546
492,111160121,Sheep,2019,327
493,111160121,Goats,1989,21
494,111160121,Goats,1999,15
495,111160121,Goats,2009,89
496,111160121,Goats,2019,19
497,111160121,Equidae,1989,15
498,111160121,Equidae,1999,9
499,111160121,Equidae,2009,44
500,111160121,Equidae,2019,38
501,111160121,Poultry,1989,1530
502,111160121,Poultry,1999,787
503,111160121,Poultry,2009,925
504,111160121,Poultry,2019,702
505,111160121,Rabbits,1989,126
506,111160121,Rabbits,1999,241
507,111160121,Rabbits,2009,348
508,111160121,Rabbits,2019,182
509,111160121,Inhabited hives and traditional cork hives,1989,
510,111160121,Inhabited hives and traditional cork hives,1999,
511,111160121,Inhabited hives and traditional cork hives,2009,16
512,111160121,Inhabited hives and traditional cork hives,2019,11
513,111160122,Cattle,1989,146
514,111160122,Cattle,1999,79
515,111160122,Cattle,2009,42
516,111160122,Cattle,2019,26
517,111160122,Pigs,1989,34
518,111160122,Pigs,1999,10
519,111160122,Pigs,2009,8
520,111160122,Pigs,2019,2
521,111160122,Sheep,1989,42
522,111160122,Sheep,1999,82
523,111160122,Sheep,2009,119
524,111160122,Sheep,2019,45
525,111160122,Goats,1989,46
526,111160122,Goats,1999,12
527,111160122,Goats,2009,29
528,111160122,Goats,2019,10
529,111160122,Equidae,1989,2
530,111160122,Equidae,1999,13
531,111160122,Equidae,2009,10
532,111160122,Equidae,2019,21
533,111160122,Poultry,1989,1176
