primary_key,codes,legal_form,year,area_ha
142,111160105,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
143,111160105,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
144,111160105,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
145,111160106,Natural person (sole holder),1989,434
146,111160106,Natural person (sole holder),1999,196
147,111160106,Natural person (sole holder),2009,162
148,111160106,Natural person (sole holder),2019,137
149,111160106,Group of natural persons (group holding),1989,
150,111160106,Group of natural persons (group holding),1999,
151,111160106,Group of natural persons (group holding),2009,
152,111160106,Group of natural persons (group holding),2019,
153,111160106,Fallow land comissions,1989,30
154,111160106,Fallow land comissions,1999,2000
155,111160106,Fallow land comissions,2009,2238
156,111160106,Fallow land comissions,2019,2628
157,111160106,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
158,111160106,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
159,111160106,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
160,111160106,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
161,111160108,Natural person (sole holder),1989,158
162,111160108,Natural person (sole holder),1999,88
163,111160108,Natural person (sole holder),2009,89
164,111160108,Natural person (sole holder),2019,47
165,111160108,Group of natural persons (group holding),1989,
166,111160108,Group of natural persons (group holding),1999,
167,111160108,Group of natural persons (group holding),2009,
168,111160108,Group of natural persons (group holding),2019,3
169,111160108,Fallow land comissions,1989,32
170,111160108,Fallow land comissions,1999,5
171,111160108,Fallow land comissions,2009,
172,111160108,Fallow land comissions,2019,12
173,111160108,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
174,111160108,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
175,111160108,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
176,111160108,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
177,111160109,Natural person (sole holder),1989,161
178,111160109,Natural person (sole holder),1999,92
179,111160109,Natural person (sole holder),2009,55
180,111160109,Natural person (sole holder),2019,64
181,111160109,Group of natural persons (group holding),1989,
182,111160109,Group of natural persons (group holding),1999,
183,111160109,Group of natural persons (group holding),2009,
184,111160109,Group of natural persons (group holding),2019,
185,111160109,Fallow land comissions,1989,
186,111160109,Fallow land comissions,1999,
187,111160109,Fallow land comissions,2009,
188,111160109,Fallow land comissions,2019,
189,111160109,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
190,111160109,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
191,111160109,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
192,111160109,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
193,111160113,Natural person (sole holder),1989,312
194,111160113,Natural person (sole holder),1999,215
195,111160113,Natural person (sole holder),2009,236
196,111160113,Natural person (sole holder),2019,290
197,111160113,Group of natural persons (group holding),1989,
198,111160113,Group of natural persons (group holding),1999,
199,111160113,Group of natural persons (group holding),2009,
200,111160113,Group of natural persons (group holding),2019,
201,111160113,Fallow land comissions,1989,22
202,111160113,Fallow land comissions,1999,499
203,111160113,Fallow land comissions,2009,120
204,111160113,Fallow land comissions,2019,2551
205,111160113,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
206,111160113,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
207,111160113,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
208,111160113,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
209,111160115,Natural person (sole holder),1989,272
210,111160115,Natural person (sole holder),1999,287
211,111160115,Natural person (sole holder),2009,184
212,111160115,Natural person (sole holder),2019,206
213,111160115,Group of natural persons (group holding),1989,
214,111160115,Group of natural persons (group holding),1999,
215,111160115,Group of natural persons (group holding),2009,14
216,111160115,Group of natural persons (group holding),2019,6
217,111160115,Fallow land comissions,1989,
218,111160115,Fallow land comissions,1999,637
219,111160115,Fallow land comissions,2009,895
220,111160115,Fallow land comissions,2019,1173
221,111160115,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
222,111160115,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
223,111160115,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
224,111160115,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
225,111160142,Natural person (sole holder),1989,129
226,111160142,Natural person (sole holder),1999,90
227,111160142,Natural person (sole holder),2009,67
228,111160142,Natural person (sole holder),2019,36
229,111160142,Group of natural persons (group holding),1989,
230,111160142,Group of natural persons (group holding),1999,
231,111160142,Group of natural persons (group holding),2009,
232,111160142,Group of natural persons (group holding),2019,16
233,111160142,Fallow land comissions,1989,
234,111160142,Fallow land comissions,1999,
235,111160142,Fallow land comissions,2009,
236,111160142,Fallow land comissions,2019,
237,111160142,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
238,111160142,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
239,111160142,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
240,111160142,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
241,111160121,Natural person (sole holder),1989,304
242,111160121,Natural person (sole holder),1999,163
243,111160121,Natural person (sole holder),2009,154
244,111160121,Natural person (sole holder),2019,152
245,111160121,Group of natural persons (group holding),1989,
246,111160121,Group of natural persons (group holding),1999,
247,111160121,Group of natural persons (group holding),2009,
248,111160121,Group of natural persons (group holding),2019,
249,111160121,Fallow land comissions,1989,40
250,111160121,Fallow land comissions,1999,20
251,111160121,Fallow land comissions,2009,241
252,111160121,Fallow land comissions,2019,231
253,111160121,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
254,111160121,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
255,111160121,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
256,111160121,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
257,111160122,Natural person (sole holder),1989,174
258,111160122,Natural person (sole holder),1999,83
259,111160122,Natural person (sole holder),2009,73
260,111160122,Natural person (sole holder),2019,57
261,111160122,Group of natural persons (group holding),1989,
262,111160122,Group of natural persons (group holding),1999,
263,111160122,Group of natural persons (group holding),2009,
264,111160122,Group of natural persons (group holding),2019,
265,111160122,Fallow land comissions,1989,20
266,111160122,Fallow land comissions,1999,5
267,111160122,Fallow land comissions,2009,
268,111160122,Fallow land comissions,2019,
269,111160122,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,4
270,111160122,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,3
271,111160122,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
272,111160122,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
273,111160123,Natural person (sole holder),1989,96
274,111160123,Natural person (sole holder),1999,64
275,111160123,Natural person (sole holder),2009,56
276,111160123,Natural person (sole holder),2019,77
277,111160123,Group of natural persons (group holding),1989,
278,111160123,Group of natural persons (group holding),1999,2
279,111160123,Group of natural persons (group holding),2009,3
280,111160123,Group of natural persons (group holding),2019,23
281,111160123,Fallow land comissions,1989,
282,111160123,Fallow land comissions,1999,
283,111160123,Fallow land comissions,2009,
284,111160123,Fallow land comissions,2019,
285,111160123,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
286,111160123,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
287,111160123,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
288,111160123,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
289,111160124,Natural person (sole holder),1989,131
290,111160124,Natural person (sole holder),1999,79
291,111160124,Natural person (sole holder),2009,67
292,111160124,Natural person (sole holder),2019,100
293,111160124,Group of natural persons (group holding),1989,
294,111160124,Group of natural persons (group holding),1999,
295,111160124,Group of natural persons (group holding),2009,31
296,111160124,Group of natural persons (group holding),2019,41
297,111160124,Fallow land comissions,1989,
298,111160124,Fallow land comissions,1999,
299,111160124,Fallow land comissions,2009,
300,111160124,Fallow land comissions,2019,
301,111160124,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,15
302,111160124,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,35
303,111160124,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
304,111160124,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
305,111160125,Natural person (sole holder),1989,133
306,111160125,Natural person (sole holder),1999,78
307,111160125,Natural person (sole holder),2009,65
308,111160125,Natural person (sole holder),2019,38
309,111160125,Group of natural persons (group holding),1989,
310,111160125,Group of natural persons (group holding),1999,
311,111160125,Group of natural persons (group holding),2009,
312,111160125,Group of natural persons (group holding),2019,66
313,111160125,Fallow land comissions,1989,20
314,111160125,Fallow land comissions,1999,80
315,111160125,Fallow land comissions,2009,236
316,111160125,Fallow land comissions,2019,205
317,111160125,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
318,111160125,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
319,111160125,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
320,111160125,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
321,111160128,Natural person (sole holder),1989,223
322,111160128,Natural person (sole holder),1999,122
323,111160128,Natural person (sole holder),2009,100
324,111160128,Natural person (sole holder),2019,99
325,111160128,Group of natural persons (group holding),1989,
326,111160128,Group of natural persons (group holding),1999,
327,111160128,Group of natural persons (group holding),2009,
328,111160128,Group of natural persons (group holding),2019,4
329,111160128,Fallow land comissions,1989,
330,111160128,Fallow land comissions,1999,
331,111160128,Fallow land comissions,2009,16
332,111160128,Fallow land comissions,2019,39
333,111160128,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,2
334,111160128,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,0
335,111160128,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
336,111160128,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
337,111160131,Natural person (sole holder),1989,219
338,111160131,Natural person (sole holder),1999,109
339,111160131,Natural person (sole holder),2009,82
340,111160131,Natural person (sole holder),2019,96
341,111160131,Group of natural persons (group holding),1989,
342,111160131,Group of natural persons (group holding),1999,
343,111160131,Group of natural persons (group holding),2009,
344,111160131,Group of natural persons (group holding),2019,
345,111160131,Fallow land comissions,1989,30
346,111160131,Fallow land comissions,1999,10
347,111160131,Fallow land comissions,2009,60
348,111160131,Fallow land comissions,2019,
349,111160131,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
350,111160131,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
351,111160131,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
352,111160131,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
353,111160130,Natural person (sole holder),1989,478
354,111160130,Natural person (sole holder),1999,287
355,111160130,Natural person (sole holder),2009,234
356,111160130,Natural person (sole holder),2019,147
357,111160130,Group of natural persons (group holding),1989,
358,111160130,Group of natural persons (group holding),1999,
359,111160130,Group of natural persons (group holding),2009,
360,111160130,Group of natural persons (group holding),2019,
361,111160130,Fallow land comissions,1989,64
