
Statistical table extracted on October 11, 2022 (17:22:02)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;
;;Sex;;;
;;MF;M;F;
;;Age group;;;
;;Total;;;
;;Relationship;;;
;;Total;;;
;;Level of education;;;
;;Total;;;
;;No. ;No. ;No. ;
;112030107: Carrazedo;234;117;117;
;112030108: Dornelas;252;119;133;
;112030111: Fiscal;465;223;242;
;112030112: Goães;427;200;227;
;112030113: Lago;397;194;203;
;112030118: Rendufe;337;166;171;
;112030125: União das freguesias de Amares e Figueiredo;343;188;155;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;681;336;345;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;453;225;228;
;112030128: União das freguesias de Torre e Portela;419;208;211;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;564;284;280;
;1120302: Barcelos;30834;15243;15591;
;112030201: Abade de Neiva;341;186;155;
;112030202: Aborim;197;92;105;
;112030203: Adães;169;80;89;
;112030205: Airó;354;184;170;
;112030206: Aldreu;290;150;140;
;112030208: Alvelos;362;171;191;
;112030209: Arcozelo;102;54;48;
;112030210: Areias;132;72;60;
;112030212: Balugães;296;142;154;
;112030213: Barcelinhos;136;71;65;
;112030215: Barqueiros;608;283;325;
;112030216: Cambeses;360;173;187;
;112030218: Carapeços;528;265;263;
;112030220: Carvalhal;269;126;143;
;112030221: Carvalhas;163;80;83;
;112030224: Cossourado;553;271;282;
;112030228: Cristelo;925;434;491;
;112030234: Fornelos;446;223;223;
;112030235: Fragoso;949;486;463;
;112030268: Galegos (Santa Maria);154;82;72;
;112030272: Galegos (São Martinho);141;74;67;
;112030237: Gilmonde;444;225;219;
;112030242: Lama;256;127;129;
;112030243: Lijó;620;311;309;
;112030244: Macieira de Rates;824;406;418;
;112030245: Manhente;209;108;101;
;112030247: Martim;551;275;276;
;112030252: Moure;255;129;126;
;112030254: Oliveira;444;251;193;
;112030255: Palme;622;292;330;
;112030256: Panque;528;262;266;
;112030257: Paradela;443;220;223;
;112030259: Pereira;379;179;200;
;112030260: Perelhal;508;257;251;
;112030261: Pousa;459;221;238;
;112030263: Remelhe;503;244;259;
;112030265: Rio Covo (Santa Eugénia);176;92;84;
;112030264: Roriz;851;433;418;
;112030279: Silva;224;109;115;
;112030277: Tamel (São Veríssimo);156;81;75;
;112030282: Ucha;355;176;179;
;112030290: União das freguesias de Alheira e Igreja Nova;621;304;317;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;694;346;348;
;112030292: União das freguesias de Areias de Vilar e Encourados;488;231;257;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);668;335;333;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);702;323;379;
;112030295: União das freguesias de Carreira e Fonte Coberta;645;315;330;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;1345;668;677;
;112030297: União das freguesias de Creixomil e Mariz;588;294;294;
;112030298: União das freguesias de Durrães e Tregosa;534;240;294;
;112030299: União das freguesias de Gamil e Midões;403;197;206;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;888;432;456;
;1120302FB: União das freguesias de Negreiros e Chavão;811;417;394;
;1120302FC: União das freguesias de Quintiães e Aguiar;732;368;364;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);632;309;323;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);614;320;294;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;528;264;264;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;1140;560;580;
;1120302FH: União das freguesias de Vila Cova e Feitos;1489;714;775;
;112030283: Várzea;312;167;145;
;112030287: Vila Seca;718;342;376;
;1120303: Braga;11910;6061;5849;
;112030301: Adaúfe;650;343;307;
;112030349: Braga (São Vicente);57;26;31;
;112030351: Braga (São Vítor);38;23;15;
;112030312: Espinho;353;195;158;
;112030313: Esporões;376;197;179;
;112030315: Figueiredo;168;91;77;
;112030319: Gualtar;97;47;50;
;112030322: Lamas;116;63;53;
;112030325: Mire de Tibães;506;265;241;
;112030330: Padim da Graça;332;164;168;
;112030331: Palmeira;418;201;217;
;112030334: Pedralva;385;180;205;
;112030336: Priscos;328;156;172;
;112030338: Ruilhe;200;111;89;
;112030354: Sequeira;336;175;161;
;112030355: Sobreposta;302;150;152;
;112030356: Tadim;272;132;140;
;112030357: Tebosa;191;102;89;
;112030363: União das freguesias de Arentim e Cunha;439;210;229;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);95;47;48;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);4;2;2;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);477;235;242;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;580;302;278;
;112030368: União das freguesias de Crespos e Pousada;515;243;272;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);388;188;200;
;112030370: União das freguesias de Este (São Pedro e São Mamede);443;237;206;
;112030371: União das freguesias de Ferreiros e Gondizalves;366;188;178;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);292;154;138;
;112030373: União das freguesias de Lomar e Arcos;316;165;151;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;617;310;307;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;305;154;151;
;112030376: União das freguesias de Morreira e Trandeiras;287;153;134;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;317;171;146;
;112030378: União das freguesias de Nogueiró e Tenões;206;107;99;
;112030379: União das freguesias de Real, Dume e Semelhe;755;378;377;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;287;147;140;
;112030381: União das freguesias de Vilaça e Fradelos;96;49;47;
;1120306: Esposende;11145;5550;5595;
;112030601: Antas;669;329;340;
;112030608: Forjães;1053;507;546;
;112030610: Gemeses;572;297;275;
;112030616: União das freguesias de Apúlia e Fão;2362;1186;1176;
;112030617: União das freguesias de Belinho e Mar;1286;639;647;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;2151;1079;1072;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;1170;569;601;
;112030620: União das freguesias de Palmeira de Faro e Curvos;1037;528;509;
;112030615: Vila Chã;845;416;429;
;1120310: Terras de Bouro;4486;2182;2304;
;112031001: Balança;197;109;88;
;112031003: Campo do Gerês;112;50;62;
;112031004: Carvalheira;349;175;174;
;112031008: Covide;275;149;126;
;112031009: Gondoriz;290;143;147;
;112031010: Moimenta;216;99;117;
;112031012: Ribeira;163;79;84;
;112031013: Rio Caldo;333;156;177;
;112031014: Souto;325;147;178;
;112031018: União das freguesias de Chamoim e Vilar;446;210;236;
