
Statistical table extracted on October 15, 2022 (13:03:14)
http://www.ine.pt



Geographic localization (NUTS -2013);Tractors by agricultural holding (No.) by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;2009;
;No. ;
112031352: Soutelo;1,2;
112031354: Turiz;0,7;
112031360: União das freguesias da Ribeira do Neiva;0,5;
112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);0,5;
112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);0,8;
112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;0,7;
112031364: União das freguesias de Marrancos e Arcozelo;0,8;
112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);0,7;
112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;0,6;
112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;0,4;
112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);0,5;
112031369: União das freguesias do Vade;0,5;
112031355: Valdreu;0,3;
112031342: Vila de Prado;0,9;
112031370: Vila Verde e Barbudo;0,8;
119: Ave;0,6;
1190304: Cabeceiras de Basto;0,4;
119030401: Abadim;0,5;
119030404: Basto;0,5;
119030405: Bucos;0,5;
119030406: Cabeceiras de Basto;0,4;
119030407: Cavez;0,4;
119030408: Faia;0,2;
119030413: Pedraça;0,4;
119030415: Rio Douro;0,5;
119030418: União das freguesias de Alvite e Passos;0,3;
119030419: União das freguesias de Arco de Baúlhe e Vila Nune;0,4;
119030420: União das freguesias de Gondiães e Vilar de Cunhas;0,7;
119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;0,4;
1190307: Fafe;0,4;
119030705: Armil;0,3;
119030726: Arões (Santa Cristina);0,3;
119030730: Arões (São Romão);0,3;
119030708: Estorãos;0,2;
119030709: Fafe;0,3;
119030712: Fornelos;0,3;
119030714: Golães;0,2;
119030716: Medelo;0,4;
119030719: Paços;0,1;
119030722: Quinchães;0,3;
119030723: Regadas;0,5;
119030724: Revelhe;0,5;
119030725: Ribeiros;0,3;
119030728: São Gens;0,5;
119030729: Silvares (São Martinho);0,3;
119030733: Travassós;0,4;
119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;0,3;
119030738: União de freguesias de Agrela e Serafão;0,5;
119030739: União de freguesias de Antime e Silvares (São Clemente);0,6;
119030740: União de freguesias de Ardegão, Arnozela e Seidões;0,4;
119030741: União de freguesias de Cepães e Fareja;0,7;
119030742: União de freguesias de Freitas e Vila Cova;0,5;
119030743: União de freguesias de Monte e Queimadela;0,3;
119030744: União de freguesias de Moreira do Rei e Várzea Cova;0,3;
119030736: Vinhós;0,3;
1190308: Guimarães;0,7;
119030801: Aldão;0,7;
119030804: Azurém;0,9;
119030806: Barco;0,5;
119030807: Brito;0,9;
119030808: Caldelas;0,7;
119030857: Candoso (São Martinho);1,2;
119030812: Costa;0,7;
119030813: Creixomil;0,7;
119030815: Fermentões;1;
119030820: Gonça;0,6;
119030821: Gondar;1,2;
119030823: Guardizela;1,3;
119030824: Infantas;0,3;
119030827: Longos;1;
119030828: Lordelo;0,8;
119030830: Mesão Frio;0,6;
119030831: Moreira de Cónegos;0,8;
119030832: Nespereira;0,7;
119030835: Pencelo;0,7;
119030836: Pinheiro;0,6;
119030837: Polvoreira;0,6;
119030838: Ponte;0,7;
119030842: Prazins (Santa Eufémia);0,7;
119030840: Ronfe;0,7;
119030858: Sande (São Martinho);0,8;
119030865: São Torcato;0,7;
119030850: Selho (São Cristóvão);0,8;
119030854: Selho (São Jorge);1;
119030866: Serzedelo;1,2;
119030868: Silvares;0,5;
119030875: União das freguesias de Abação e Gémeos;0,5;
119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;0,7;
119030877: União das freguesias de Arosa e Castelões;0,6;
119030878: União das freguesias de Atães e Rendufe;0,5;
119030879: União das freguesias de Briteiros Santo Estêvão e Donim;1,2;
119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;0,9;
119030881: União das freguesias de Candoso São Tiago e Mascotelos;0,9;
119030882: União das freguesias de Conde e Gandarela;0,9;
119030883: União das freguesias de Leitões, Oleiros e Figueiredo;0,8;
119030884: União das freguesias de Oliveira, São Paio e São Sebastião;0,5;
119030885: União das freguesias de Prazins Santo Tirso e Corvite;1,1;
119030886: União das freguesias de Sande São Lourenço e Balazar;1;
119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;0,8;
119030888: União das freguesias de Selho São Lourenço e Gominhães;0,5;
119030889: União das freguesias de Serzedo e Calvos;0,5;
119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;0,8;
119030891: União das freguesias de Tabuadelo e São Faustino;0,7;
119030871: Urgezes;0,7;
1191705: Mondim de Basto;0,5;
119170501: Atei;0,7;
119170502: Bilhó;0,4;
119170505: São Cristóvão de Mondim de Basto;0,4;
119170509: União das freguesias de Campanhó e Paradança;0,5;
119170510: União das freguesias de Ermelo e Pardelhas;0,4;
119170508: Vilar de Ferreiros;0,4;
1190309: Póvoa de Lanhoso;0,6;
119030906: Covelas;0,8;
119030908: Ferreiros;0,7;
119030912: Galegos;0,5;
119030913: Garfe;0,4;
119030914: Geraz do Minho;0,4;
119030915: Lanhoso;0,6;
119030917: Monsul;0,4;
119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);0,7;
119030921: Rendufinho;0,6;
119030922: Santo Emilião;1,5;
119030923: São João de Rei;0,7;
119030924: Serzedelo;0,3;
119030925: Sobradelo da Goma;0,6;
119030926: Taíde;0,6;
119030927: Travassos;0,5;
119030930: União das freguesias de Águas Santas e Moure;0,7;
119030931: União das freguesias de Calvos e Frades;0,6;
119030932: União das freguesias de Campos e Louredo;0,7;
119030933: União das freguesias de Esperança e Brunhais;0,3;
119030934: União das freguesias de Fonte Arcada e Oliveira;0,8;
119030935: União das freguesias de Verim, Friande e Ajude;0,7;
119030929: Vilela;0,3;
1190311: Vieira do Minho;0,5;
119031105: Cantelães;0,3;
119031107: Eira Vedra;0,5;
119031108: Guilhofrei;0,4;
119031109: Louredo;0,5;
119031110: Mosteiro;0,8;
119031111: Parada de Bouro;0,5;
119031112: Pinheiro;0,5;
119031113: Rossas;0,5;
119031115: Salamonde;0,5;
119031118: Tabuaças;0,5;
119031122: União das freguesias de Anissó e Soutelo;0,7;
119031123: União das freguesias de Anjos e Vilar do Chão;0,9;
119031124: União das freguesias de Caniçada e Soengas;0,5;
119031125: União das freguesias de Ruivães e Campos;0,5;
119031126: União das freguesias de Ventosa e Cova;0,4;
119031120: Vieira do Minho;0,6;
1190312: Vila Nova de Famalicão;1,1;
119031204: Bairro;1;
119031206: Brufe;0,9;
119031210: Castelões;0,8;
119031212: Cruz;1;
119031213: Delães;0,8;
119031215: Fradelos;2;
119031216: Gavião;0,8;
119031219: Joane;0,8;
119031221: Landim;1;
119031223: Louro;1,4;
119031224: Lousado;1,5;
119031225: Mogege;0,7;
119031227: Nine;1,3;
119031239: Oliveira (Santa Maria);0,7;
119031242: Oliveira (São Mateus);0,2;
119031230: Pedome;0,8;
119031232: Pousada de Saramagos;0,7;
119031233: Requião;1,2;
119031234: Riba de Ave;0,9;
119031235: Ribeirão;1,6;
119031250: União das freguesias de Antas e Abade de Vermoim;0,8;
