
Statistical table extracted on October 11, 2022 (22:36:52)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;;Sex;;;;;
;;MF;;;;;
;;Age group;;;;;
;;Total;;;;;
;;Relationship;;;;;
;;Total;;;;;
;;Level of education;;;;;
;;Total;None;Basic;Secondary / post-secondary;Superior;
;;No. ;No. ;No. ;No. ;No. ;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;90;21;45;10;14;
;112030378: União das freguesias de Nogueiró e Tenões;34;3;22;6;3;
;112030379: União das freguesias de Real, Dume e Semelhe;165;20;103;18;24;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;93;11;49;14;19;
;112030381: União das freguesias de Vilaça e Fradelos;74;7;46;7;14;
;1120306: Esposende;2197;177;1630;272;118;
;112030601: Antas;128;11;87;20;10;
;112030608: Forjães;168;16;103;27;22;
;112030610: Gemeses;229;30;147;32;20;
;112030616: União das freguesias de Apúlia e Fão;478;43;374;58;3;
;112030617: União das freguesias de Belinho e Mar;293;17;221;40;15;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;195;5;170;14;6;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;258;7;230;15;6;
;112030620: União das freguesias de Palmeira de Faro e Curvos;284;25;189;44;26;
;112030615: Vila Chã;164;23;109;22;10;
;1120310: Terras de Bouro;1760;253;1114;256;137;
;112031001: Balança;79;4;60;12;3;
;112031003: Campo do Gerês;50;1;23;17;9;
;112031004: Carvalheira;135;16;79;20;20;
;112031008: Covide;157;19;114;11;13;
;112031009: Gondoriz;122;24;70;18;10;
;112031010: Moimenta;60;2;40;13;5;
;112031012: Ribeira;52;4;40;7;1;
;112031013: Rio Caldo;127;24;71;23;9;
;112031014: Souto;93;12;54;17;10;
;112031018: União das freguesias de Chamoim e Vilar;195;34;116;32;13;
;112031019: União das freguesias de Chorense e Monte;294;54;184;36;20;
;112031020: União das freguesias de Cibões e Brufe;168;32;113;17;6;
;112031015: Valdosende;113;23;65;19;6;
;112031017: Vilar da Veiga;115;4;85;14;12;
;1120313: Vila Verde;4441;627;2778;641;395;
;112031359: Aboim da Nóbrega e Gondomar;243;40;154;33;16;
;112031304: Atiães;98;14;64;14;6;
;112031308: Cabanelas;69;4;52;11;2;
;112031309: Cervães;182;17;115;31;19;
