Statistical table extracted on October 18, 2022 (10:37:08);;;;
http://www.ine.pt;;;;
;;;;
;;;;
;;;;
Geographic localization (NUTS -2013);Average value of total standard output by hectare of utilised agricultural area (?/ ha) by Geographic localization (NUTS -2013) -  Decennial (1) ;;;
;Data reference period;;;
;2019;;;
;?/ ha ;;;
119030733: Travassós;1899,4;;;
119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;1271,9;;;
119030738: União de freguesias de Agrela e Serafão;1751,8;;;
119030739: União de freguesias de Antime e Silvares (São Clemente);1994,2;;;
119030740: União de freguesias de Ardegão, Arnozela e Seidões;5619,3;;;
119030741: União de freguesias de Cepães e Fareja;3612,8;;;
119030742: União de freguesias de Freitas e Vila Cova;2502,9;;;
119030743: União de freguesias de Monte e Queimadela;1101;;;
119030744: União de freguesias de Moreira do Rei e Várzea Cova;2344,6;;;
119030736: Vinhós;2453,9;;;
1190308: Guimarães;6505,3;;;
119030801: Aldão;4975,4;;;
119030804: Azurém;5530,9;;;
119030806: Barco;36946,9;;;
119030807: Brito;3497,4;;;
119030808: Caldelas;3090;;;
119030857: Candoso (São Martinho);11043,9;;;
119030812: Costa;4716,2;;;
119030813: Creixomil;19982,6;;;
119030815: Fermentões;4011,3;;;
119030820: Gonça;4384,6;;;
119030821: Gondar;4255,5;;;
119030823: Guardizela;5978,3;;;
119030824: Infantas;3212,5;;;
119030827: Longos;7596,2;;;
119030828: Lordelo;5829,4;;;
119030830: Mesão Frio;3022,4;;;
119030831: Moreira de Cónegos;4796,9;;;
119030832: Nespereira;7479,8;;;
119030835: Pencelo;4247,3;;;
119030836: Pinheiro;16637,8;;;
119030837: Polvoreira;7527,3;;;
119030838: Ponte;6296,7;;;
119030842: Prazins (Santa Eufémia);19489;;;
119030840: Ronfe;7635,1;;;
119030858: Sande (São Martinho);5060,8;;;
119030865: São Torcato;4578,8;;;
119030850: Selho (São Cristóvão);2015,1;;;
119030854: Selho (São Jorge);6695,1;;;
119030866: Serzedelo;7191,4;;;
119030868: Silvares;6883,5;;;
119030875: União das freguesias de Abação e Gémeos;5113,7;;;
119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;6055,4;;;
119030877: União das freguesias de Arosa e Castelões;2572;;;
119030878: União das freguesias de Atães e Rendufe;4124,4;;;
119030879: União das freguesias de Briteiros Santo Estêvão e Donim;7424,1;;;
119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;4353,4;;;
119030881: União das freguesias de Candoso São Tiago e Mascotelos;8025,7;;;
119030882: União das freguesias de Conde e Gandarela;3518,4;;;
119030883: União das freguesias de Leitões, Oleiros e Figueiredo;4919,6;;;
119030884: União das freguesias de Oliveira, São Paio e São Sebastião;- -;;;
119030885: União das freguesias de Prazins Santo Tirso e Corvite;7213,9;;;
119030886: União das freguesias de Sande São Lourenço e Balazar;9345;;;
119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;4684,7;;;
119030888: União das freguesias de Selho São Lourenço e Gominhães;4930,5;;;
119030889: União das freguesias de Serzedo e Calvos;3816,8;;;
119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;6115,5;;;
119030891: União das freguesias de Tabuadelo e São Faustino;12233,2;;;
119030871: Urgezes;8001,7;;;
1191705: Mondim de Basto;714,9;;;
119170501: Atei;3429,6;;;
119170502: Bilhó;927,5;;;
119170505: São Cristóvão de Mondim de Basto;894,8;;;
119170509: União das freguesias de Campanhó e Paradança;801,3;;;
119170510: União das freguesias de Ermelo e Pardelhas;249,1;;;
119170508: Vilar de Ferreiros;442,9;;;
1190309: Póvoa de Lanhoso;3228;;;
119030906: Covelas;2944,2;;;
119030908: Ferreiros;2899,9;;;
119030912: Galegos;2307,4;;;
119030913: Garfe;4009,1;;;
119030914: Geraz do Minho;6567;;;
119030915: Lanhoso;3343,4;;;
119030917: Monsul;2099,4;;;
119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);2272,6;;;
119030921: Rendufinho;2393,5;;;
119030922: Santo Emilião;6093,1;;;
119030923: São João de Rei;2414,9;;;
119030924: Serzedelo;2243,3;;;
119030925: Sobradelo da Goma;903;;;
119030926: Taíde;1161,2;;;
119030927: Travassos;1608,8;;;
119030930: União das freguesias de Águas Santas e Moure;3956;;;
119030931: União das freguesias de Calvos e Frades;2964;;;
119030932: União das freguesias de Campos e Louredo;14461,8;;;
119030933: União das freguesias de Esperança e Brunhais;1788,7;;;
119030934: União das freguesias de Fonte Arcada e Oliveira;2350,5;;;
119030935: União das freguesias de Verim, Friande e Ajude;1505,8;;;
119030929: Vilela;3746,4;;;
1190311: Vieira do Minho;677,9;;;
119031105: Cantelães;442,4;;;
119031107: Eira Vedra;1368,4;;;
119031108: Guilhofrei;501,4;;;
119031109: Louredo;2464,3;;;
119031110: Mosteiro;2444,5;;;
119031111: Parada de Bouro;334,1;;;
119031112: Pinheiro;969,1;;;
119031113: Rossas;582,1;;;
119031115: Salamonde;670,7;;;
119031118: Tabuaças;1715,8;;;
119031122: União das freguesias de Anissó e Soutelo;749,1;;;
119031123: União das freguesias de Anjos e Vilar do Chão;609,7;;;
119031124: União das freguesias de Caniçada e Soengas;898,8;;;
119031125: União das freguesias de Ruivães e Campos;391,4;;;
119031126: União das freguesias de Ventosa e Cova;2454,2;;;
119031120: Vieira do Minho;2369,7;;;
1190312: Vila Nova de Famalicão;8677,2;;;
119031204: Bairro;6551,7;;;
119031206: Brufe;7249,4;;;
119031210: Castelões;7785,5;;;
119031212: Cruz;2574,5;;;
119031213: Delães;2757,4;;;
119031215: Fradelos;16719,4;;;
119031216: Gavião;4968,6;;;
119031219: Joane;2737,7;;;
119031221: Landim;8650,3;;;
119031223: Louro;6210,3;;;
119031224: Lousado;3970;;;
119031225: Mogege;2710,7;;;
119031227: Nine;7971,8;;;
119031239: Oliveira (Santa Maria);2755,4;;;
119031242: Oliveira (São Mateus);1677,8;;;
119031230: Pedome;2432,3;;;
119031232: Pousada de Saramagos;2687,1;;;
119031233: Requião;3560;;;
119031234: Riba de Ave;10329,5;;;
119031235: Ribeirão;10292,9;;;
119031250: União das freguesias de Antas e Abade de Vermoim;6816,3;;;
119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;6025,5;;;
119031252: União das freguesias de Avidos e Lagoa;6243;;;
119031253: União das freguesias de Carreira e Bente;6972,3;;;
119031254: União das freguesias de Esmeriz e Cabeçudos;5032,3;;;
