16E060114: São Martinho da Cortiça;28;93;764;497;12;1721;180;299;
16E060115: Sarzedo;- -;1;97;324;1;529;96;29;
16E060116: Secarias;- -;8;15;29;1;274;28;13;
16E060119: União das freguesias de Cepos e Teixeira;- -;5;9;235;1;224;40;1003;
16E060120: União das freguesias de Cerdeira e Moura da Serra;4;10;113;62;- -;348;18;4;
16E060121: União das freguesias de Côja e Barril de Alva;1;12;333;238;3;50594;169;54;
16E060122: União das freguesias de Vila Cova de Alva e Anseriz;2;16;443;65;4;870;172;9;
16E0602: Cantanhede;7035;9881;1038;1118;179;50580;14886;337;
16E060201: Ançã;17;75;73;32;7;983;21;3;
16E060203: Cadima;1036;581;89;99;23;3677;174;42;
16E060205: Cordinhã;85;891;- -;63;10;3298;477;21;
16E060207: Febres;194;99;8;118;4;1653;100;2;
16E060208: Murtede;248;3739;115;163;2;2309;429;59;
16E060209: Ourentã;7;273;47;33;1;1589;213;3;
16E060218: Sanguinheira;2567;1151;161;75;20;5215;373;83;
16E060215: São Caetano;190;29;- -;6;14;602;95;- -;
16E060214: Tocha;2140;754;182;66;25;7461;742;93;
16E060220: União das freguesias de Cantanhede e Pocariça;50;423;189;130;48;4812;10855;10;
16E060221: União das freguesias de Covões e Camarneira;216;1038;37;45;8;2838;499;21;
16E060222: União das freguesias de Portunhos e Outil;32;257;79;177;4;11944;343;- -;
16E060223: União das freguesias de Sepins e Bolho;195;528;41;85;13;3608;458;- -;
16E060224: União das freguesias de Vilamar e Corticeiro de Cima;58;43;17;26;- -;591;107;- -;
16E0603: Coimbra;883;2210;2638;2111;198;108779;2606;219;
16E060301: Almalaguês;14;53;260;233;8;82563;364;19;
16E060309: Brasfemes;2;9;12;56;1;508;114;14;
16E060311: Ceira;29;7;52;53;39;620;17;- -;
16E060312: Cernache;9;16;217;33;14;727;146;5;
16E060318: Santo António dos Olivais;4;10;48;27;- -;488;121;57;
16E060320: São João do Campo;38;495;178;51;10;1114;33;- -;
16E060324: São Silvestre;342;108;115;59;6;1893;30;- -;
16E060329: Torres do Mondego;4;25;24;45;1;386;136;3;
16E060332: União das freguesias de Antuzede e Vil de Matos;76;183;176;280;6;3001;156;9;
16E060333: União das freguesias de Assafarge e Antanhol;13;22;188;69;1;588;45;- -;
16E060334: União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu);100;111;60;32;42;308;- -;- -;
16E060335: União das freguesias de Eiras e São Paulo de Frades;9;61;109;103;7;1916;260;54;
16E060336: União das freguesias de Santa Clara e Castelo Viegas;28;6;63;26;- -;341;125;- -;
16E060337: União das freguesias de São Martinho de Árvore e Lamarosa;89;575;567;206;5;3718;164;- -;
16E060338: União das freguesias de São Martinho do Bispo e Ribeira de Frades;82;238;231;56;45;2718;148;7;
16E060339: União das freguesias de Souselas e Botão;18;178;232;600;3;4882;461;47;
16E060340: União das freguesias de Taveiro, Ameal e Arzila;10;63;68;77;10;1731;75;2;
16E060341: União das freguesias de Trouxemil e Torre de Vilela;16;50;38;105;- -;1277;211;2;
16E0604: Condeixa-a-Nova;218;313;1960;1874;40;9944;1062;88;
16E060401: Anobra;52;42;497;241;13;1258;43;20;
16E060406: Ega;27;88;162;553;6;3551;308;13;
16E060407: Furadouro;15;17;165;325;5;299;24;7;
16E060411: União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova;65;78;437;232;5;1698;284;37;
16E060412: União das freguesias de Sebal e Belide;42;69;454;154;7;1855;110;6;
16E060413: União das freguesias de Vila Seca e Bem da Fé;5;12;46;72;- -;723;182;5;
16E060410: Zambujal;12;7;199;297;4;560;111;- -;
16E0605: Figueira da Foz;5398;5298;2153;450;180;178637;1730;406;
16E060519: Alhadas;208;61;282;5;15;1001;78;315;
16E060502: Alqueidão;179;137;103;7;12;142764;304;- -;
16E060515: Bom Sucesso;2278;438;530;112;13;4027;241;38;
16E060520: Buarcos;- -;12;11;- -;1;259;23;- -;
16E060521: Ferreira-a-Nova;1016;429;143;30;52;3436;254;33;
16E060522: Lavos;49;2160;53;18;3;678;69;- -;
16E060507: Maiorca;409;49;514;35;24;2355;82;- -;
16E060508: Marinha das Ondas;456;1289;31;121;10;1261;177;3;
16E060518: Moinhos da Gândara;604;180;30;26;23;19122;126;5;
16E060523: Paião;44;473;241;74;12;2273;242;12;
16E060524: Quiaios;84;40;28;16;3;355;22;- -;
16E060514: São Pedro;- -;- -;- -;- -;- -;27;- -;- -;
16E060512: Tavarede;4;11;182;- -;4;193;58;- -;
16E060513: Vila Verde;67;19;5;6;8;886;54;- -;
16E0606: Góis;36;2534;189;1065;7;1082;309;360;
16E060601: Alvares;- -;4;59;149;1;183;21;71;
16E060604: Góis;21;10;36;286;2;398;110;142;
16E060606: União das freguesias de Cadafaz e Colmeal;- -;- -;27;427;2;82;4;100;
16E060605: Vila Nova do Ceira;15;2520;67;203;2;419;174;47;
16E0607: Lousã;113;246;476;846;33;3861;7232;2075;
16E060706: Gândaras;9;20;41;39;19;641;100;28;
16E060704: Serpins;25;138;74;155;2;403;6452;98;
16E060707: União das freguesias de Foz de Arouce e Casal de Ermio;7;19;65;136;4;616;116;855;
16E060708: União das freguesias de Lousã e Vilarinho;72;69;296;516;8;2201;564;1094;
16E0111: Mealhada;1033;3019;506;776;38;302940;2353;167;
16E011102: Barcouço;160;198;164;199;16;288087;182;44;
16E011103: Casal Comba;243;502;28;219;13;2746;611;67;
16E011104: Luso;6;37;107;79;1;733;290;49;
16E011106: Pampilhosa;3;37;39;77;4;748;280;4;
16E011109: União das freguesias da Mealhada, Ventosa do Bairro e Antes;571;2160;34;102;2;9934;841;3;
16E011107: Vacariça;50;85;134;100;2;692;149;- -;
16E0608: Mira;2110;6840;42;91;16;7625;10219;109;
16E060803: Carapelhos;264;40;- -;- -;1;535;23;5;
16E060801: Mira;1293;6697;23;80;14;5156;10051;103;
16E060804: Praia de Mira;374;50;17;6;1;1193;100;1;
16E060802: Seixo;179;53;2;5;- -;741;45;- -;
16E0609: Miranda do Corvo;61;211;659;589;9;4790;1137;687;
16E060901: Lamas;5;34;91;60;2;651;165;11;
16E060902: Miranda do Corvo;20;73;273;221;3;1850;466;425;
16E060906: União das freguesias de Semide e Rio Vide;31;85;217;221;4;1916;319;94;
16E060905: Vila Nova;5;19;78;87;- -;373;187;157;
16E0610: Montemor-o-Velho;10734;8120;5356;1008;326;30912;2200;298;
16E061002: Arazede;5764;2652;851;151;74;8532;834;79;
16E061003: Carapinheira;269;495;552;85;30;2339;115;5;
16E061014: Ereira;46;43;189;- -;15;548;17;- -;
16E061005: Liceia;876;683;124;76;25;2335;293;2;
16E061006: Meãs do Campo;229;241;116;20;11;1195;96;3;
16E061008: Pereira;55;184;622;63;15;1307;62;- -;
16E061009: Santo Varão;199;33;495;79;4;815;66;4;
16E061010: Seixo de Gatões;728;436;193;125;27;1970;113;185;
16E061011: Tentúgal;1369;2745;719;259;65;6645;275;13;
16E061015: União das freguesias de Abrunheira, Verride e Vila Nova da Barca;386;66;413;23;14;1327;83;5;
16E061016: União das freguesias de Montemor-o-Velho e Gatões;813;542;1082;127;46;3899;246;2;
16E1808: Mortágua;128;776;4998;508;15;166580;28619;329;
16E180802: Cercosa;1;34;345;16;- -;526;116;11;
16E180804: Espinho;18;191;1095;165;6;8370;629;171;
16E180805: Marmeleira;- -;68;301;50;1;513;76;3;
16E180807: Pala;18;181;796;48;2;24181;323;87;
16E180808: Sobral;22;200;1180;92;3;1990;454;38;
16E180809: Trezói;- -;34;307;57;- -;23487;123;12;
16E180811: União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça;69;68;974;80;3;107513;26898;7;
16E0611: Oliveira do Hospital;58;209;8900;1429;92;40819;101523;1133;
16E061101: Aldeia das Dez;- -;3;75;27;- -;114;5;- -;
16E061102: Alvoco das Várzeas;- -;3;61;13;2;157;81;- -;
16E061103: Avô;1;8;362;24;- -;360;66;- -;
16E061104: Bobadela;10;7;535;30;2;489;112;- -;
16E061106: Lagares;- -;17;243;57;2;863;577;12;
16E061109: Lourosa;2;15;348;49;9;867;154;111;
16E061110: Meruge;3;17;128;33;2;587;165;11;
16E061111: Nogueira do Cravo;13;20;915;151;10;991;286;93;
16E061115: São Gião;- -;4;216;14;3;250;31;37;
16E061118: Seixo da Beira;11;24;2082;473;14;31356;98557;37;
16E061119: Travanca de Lagos;8;30;810;124;30;1079;297;16;
16E061122: União das freguesias de Ervedal e Vila Franca da Beira;4;12;957;118;9;1300;437;266;
16E061123: União das freguesias de Lagos da Beira e Lajeosa;- -;18;478;153;2;1122;429;90;
16E061124: União das freguesias de Oliveira do Hospital e São Paio de Gramaços;- -;9;968;101;7;617;102;- -;
16E061125: União das freguesias de Penalva de Alva e São Sebastião da Feira;- -;22;138;24;- -;153;74;457;
16E061126: União das freguesias de Santa Ovaia e Vila Pouca da Beira;6;- -;584;38;- -;514;150;3;
16E0612: Pampilhosa da Serra;3;58;320;987;1;3978;1199;2110;
16E061201: Cabril;- -;- -;- -;2;- -;384;90;76;
16E061202: Dornelas do Zêzere;- -;9;3;89;- -;460;182;18;
16E061211: Fajão-Vidual;- -;- -;17;225;- -;192;55;141;
16E061204: Janeiro de Baixo;- -;2;104;205;- -;837;214;154;
16E061206: Pampilhosa da Serra;- -;- -;38;59;- -;569;146;669;
16E061207: Pessegueiro;3;1;40;118;- -;55;59;108;
16E061212: Portela do Fojo-Machio;- -;40;116;135;1;954;141;290;
16E061209: Unhais-o-Velho;- -;6;2;154;- -;527;312;654;
16E0613: Penacova;110;406;2755;1579;7;7728;2407;903;
16E061301: Carvalho;3;64;856;126;- -;927;285;76;
16E061302: Figueira de Lorvão;12;116;170;430;- -;1769;645;48;
16E061304: Lorvão;25;74;182;208;1;824;283;86;
16E061307: Penacova;1;39;147;228;- -;947;201;71;
16E061310: Sazes do Lorvão;5;50;91;194;- -;799;174;29;
16E061312: União das freguesias de Friúmes e Paradela;3;14;50;127;- -;498;215;388;
16E061313: União das freguesias de Oliveira do Mondego e Travanca do Mondego;35;23;385;103;- -;563;280;11;
16E061314: União das freguesias de São Pedro de Alva e São Paio de Mondego;26;26;874;163;6;1401;324;194;
16E0614: Penela;62;183;2479;790;15;4945;1203;375;
16E061401: Cumeeira;3;69;442;63;1;1313;466;51;
16E061402: Espinhal;1;11;35;87;- -;150;27;44;
16E061403: Podentes;8;12;30;169;- -;644;163;10;
16E061407: União das freguesias de São Miguel, Santa Eufémia e Rabaçal;50;91;1972;471;14;2838;547;270;
16E0615: Soure;849;1057;3756;1964;94;1970905;1853;286;
16E061501: Alfarelos;23;21;327;- -;1;690;25;- -;
16E061504: Figueiró do Campo;15;41;145;126;6;2008;140;38;
16E061506: Granja do Ulmeiro;26;12;60;40;1;470;73;56;
16E061508: Samuel;10;42;163;12;2;2635;378;- -;
16E061509: Soure;635;499;1006;501;60;1956780;520;46;
16E061510: Tapéus;8;18;179;166;- -;550;12;113;
16E061513: União das freguesias de Degracias e Pombalinho;105;180;1734;915;6;1448;146;9;
16E061514: União das freguesias de Gesteira e Brunhós;6;40;6;55;7;1983;237;5;
16E061511: Vila Nova de Anços;11;55;10;86;11;1855;96;1;
16E061512: Vinha da Rainha;10;149;126;63;- -;2486;226;18;
16E0616: Tábua;250;713;5505;1311;50;13200;2568;406;
16E061602: Candosa;1;22;108;31;- -;798;217;9;
16E061603: Carapinha;- -;21;203;65;- -;560;188;39;
16E061608: Midões;28;412;671;174;4;1513;270;110;
16E061609: Mouronho;52;5;553;215;4;2269;249;23;
16E061611: Póvoa de Midões;1;12;339;64;1;807;263;1;
16E061612: São João da Boa Vista;2;41;338;179;10;844;66;1;
16E061614: Tábua;11;19;357;67;5;1577;261;48;
16E061616: União das freguesias de Ázere e Covelo;- -;35;972;156;8;786;361;104;
16E061617: União das freguesias de Covas e Vila Nova de Oliveirinha;6;13;906;182;6;907;281;12;
16E061618: União das freguesias de Espariz e Sinde;139;101;546;79;7;1392;251;13;
16E061619: União das freguesias de Pinheiro de Coja e Meda de Mouros;10;32;512;99;5;1747;161;46;
16E0617: Vila Nova de Poiares;42;103;201;402;8;2259;641;590;
16E061701: Arrifana;6;34;102;70;1;584;189;248;
16E061702: Lavegadas;2;8;6;34;1;117;7;19;
16E061703: Poiares (Santo André);9;47;71;205;6;1348;365;274;
16E061704: São Miguel de Poiares;25;14;22;93;- -;210;80;49;
16F: Região de Leiria;11753;309092;27331;12138;438;2714943;45749;4352;
16F1002: Alvaiázere;178;360;2455;1451;67;129730;1614;250;
16F100201: Almoster;56;97;211;174;4;12474;150;13;
16F100208: Alvaiázere;55;99;519;528;55;1684;474;119;
16F100204: Maçãs de Dona Maria;7;41;311;178;6;1051;297;23;
16F100205: Pelmá;6;51;144;230;1;1024;133;73;
16F100209: Pussos São Pedro;54;72;1270;341;1;113497;560;22;
16F1003: Ansião;314;3039;5187;2115;17;240960;2142;499;
16F100301: Alvorge;31;125;1132;567;5;2139;271;14;
16F100309: Ansião;60;223;1405;339;7;24316;420;83;
16F100303: Avelar;4;7;138;32;- -;378;73;- -;
16F100304: Chão de Couce;16;82;771;261;- -;58040;431;18;
16F100306: Pousaflores;2;112;428;276;- -;1871;357;254;
16F100307: Santiago da Guarda;201;2490;1313;640;5;154216;590;130;
16F1004: Batalha;327;12040;910;410;15;154309;2890;141;
16F100401: Batalha;119;10361;536;115;6;102460;1460;10;
16F100404: Golpilheira;7;260;51;1;- -;581;174;20;
16F100402: Reguengo do Fetal;71;1306;75;61;2;687;536;- -;
16F100403: São Mamede;130;113;248;233;7;50581;720;111;
16F1007: Castanheira de Pêra;11;50;227;396;- -;691;280;928;
16F100703: União das freguesias de Castanheira de Pêra e Coentral;11;50;227;396;- -;691;280;928;
16F1008: Figueiró dos Vinhos;19;197;644;481;8;3404;1057;371;
16F100801: Aguda;1;4;79;27;- -;155;70;16;
16F100802: Arega;10;47;258;168;- -;776;234;43;
16F100803: Campelo;- -;- -;6;- -;2;87;35;1;
16F100806: União das freguesias de Figueiró dos Vinhos e Bairradas;8;146;301;286;6;2386;718;311;
16F1009: Leiria;4613;175617;4760;1590;85;1590314;15048;912;
16F100901: Amor;347;2699;216;35;8;106328;2759;15;
16F100902: Arrabal;36;21;59;128;- -;670;259;8;
16F100925: Bajouca;91;178;108;6;- -;86055;172;26;
16F100926: Bidoeira de Cima;85;33444;170;2;- -;102263;112;15;
16F100907: Caranguejeira;342;3105;556;74;6;122375;627;3;
16F100909: Coimbrão;1143;4169;29;19;4;771;75;3;
16F100913: Maceira;29;6154;377;94;4;1872;2762;65;
16F100915: Milagres;106;23686;224;8;6;247604;59;- -;
16F100921: Regueira de Pontes;153;12338;52;1;1;420;88;- -;
16F100932: União das freguesias de Colmeias e Memória;229;13854;407;74;3;148250;623;33;
16F100933: União das freguesias de Leiria, Pousos, Barreira e Cortes;64;811;290;155;19;62953;5104;60;
16F100934: União das freguesias de Marrazes e Barosa;52;14812;217;78;2;8292;104;46;
16F100935: União das freguesias de Monte Real e Carvide;145;438;324;396;3;2032;326;- -;
16F100936: União das freguesias de Monte Redondo e Carreira;727;6711;402;192;14;140801;393;1;
16F100937: União das freguesias de Parceiros e Azoia;145;37;228;153;3;940;93;440;
16F100938: União das freguesias de Santa Catarina da Serra e Chainça;356;194;529;123;3;1835;926;127;
16F100939: União das freguesias de Santa Eufémia e Boa Vista;109;52027;197;21;- -;836;163;44;
16F100940: União das freguesias de Souto da Carpalhosa e Ortigosa;454;939;375;31;9;556017;403;26;
16F1010: Marinha Grande;61;64;249;136;14;1668;383;- -;
16F101001: Marinha Grande;36;34;134;38;7;1069;306;- -;
16F101003: Moita;- -;1;59;- -;- -;44;15;- -;
16F101002: Vieira de Leiria;25;29;56;98;7;555;62;- -;
16F1013: Pedrógão Grande;16;128;626;435;15;3997;715;390;
16F101301: Graça;8;39;237;99;4;1298;246;214;
16F101302: Pedrógão Grande;7;71;302;283;10;1967;326;122;
16F101303: Vila Facaia;1;18;87;53;1;732;143;54;
16F1015: Pombal;2487;23931;8199;2692;120;582834;15689;315;
16F101501: Abiul;74;636;1779;711;4;218442;1594;60;
16F101503: Almagreira;173;7071;622;276;9;37108;395;21;
16F101504: Carnide;49;3750;366;65;10;24260;128;23;
16F101505: Carriço;133;207;123;65;1;2756;377;- -;
16F101506: Louriçal;759;1087;307;174;2;52669;2669;23;
16F101515: Meirinhas;109;100;124;11;- -;1009;190;3;
16F101508: Pelariga;284;241;277;82;14;42379;199;1;
16F101509: Pombal;207;2018;1497;221;37;150989;1806;73;
16F101510: Redinha;249;2578;589;399;11;2162;459;31;
16F101518: União das freguesias de Guia, Ilha e Mata Mourisca;222;4809;618;112;9;26815;5298;44;
16F101519: União das freguesias de Santiago e São Simão de Litém e Albergaria dos Doze;64;819;915;93;13;2490;1956;30;
16F101513: Vermoil;72;484;269;19;5;19691;232;- -;
16F101514: Vila Cã;92;131;713;464;5;2064;386;6;
16F1016: Porto de Mós;3727;93666;4074;2432;97;7036;5931;546;
16F101602: Alqueidão da Serra;2;4;179;134;3;92;57;- -;
16F101605: Calvaria de Cima;9;77881;84;9;1;243;17;9;
16F101606: Juncal;64;4502;160;16;7;3224;4448;12;
16F101608: Mira de Aire;27;110;181;11;2;145;59;- -;
16F101609: Pedreiras;39;234;113;35;- -;415;144;3;
16F101614: Porto de Mós - São João Baptista e São Pedro;171;8469;392;30;46;1116;244;41;
16F101610: São Bento;2720;268;1400;1429;18;427;306;33;
16F101613: Serro Ventoso;440;1885;419;204;1;717;179;174;
16F101615: União das freguesias de Alvados e Alcaria;19;13;124;80;5;283;232;261;
16F101616: União das freguesias de Arrimal e Mendiga;236;300;1022;484;14;374;245;13;
16G: Viseu Dão Lafões;11290;23767;61959;25455;960;8647874;120584;6164;
16G0901: Aguiar da Beira;1241;4025;4639;908;76;631379;2510;397;
16G090102: Carapito;158;160;605;107;1;308;320;50;
16G090103: Cortiçada;52;29;181;102;11;18363;272;22;
16G090105: Dornelas;94;109;392;76;12;922;375;29;
16G090106: Eirado;54;17;289;26;4;89220;76;58;
16G090107: Forninhos;5;18;259;54;1;17393;201;27;
16G090109: Pena Verde;181;75;1575;275;5;72274;434;23;
16G090110: Pinheiro;50;55;247;102;5;64203;83;88;
16G090114: União das freguesias de Aguiar da Beira e Coruche;288;3471;380;90;13;241214;273;78;
16G090115: União das freguesias de Sequeiros e Gradiz;141;48;279;35;14;75941;270;18;
16G090116: União das freguesias de Souto de Aguiar da Beira e Valverde;218;43;432;41;10;51541;206;4;
16G1802: Carregal do Sal;47;1436;2785;665;52;219762;2086;109;
16G180201: Beijós;5;33;524;53;19;104732;403;- -;
16G180202: Cabanas de Viriato;12;59;653;46;21;74741;552;13;
16G180204: Oliveira do Conde;6;41;641;64;5;7572;660;- -;
16G180206: Parada;- -;7;40;25;5;492;88;13;
16G180208: União das freguesias de Currelos, Papízios e Sobral;24;1296;927;477;2;32225;383;83;
16G1803: Castro Daire;1331;1437;4138;4753;130;383373;3859;997;
16G180301: Almofala;22;- -;39;154;12;60;14;26;
16G180303: Cabril;96;49;188;727;2;475;119;167;
16G180304: Castro Daire;244;213;261;186;4;755;446;46;
16G180305: Cujó;10;- -;68;172;15;64;45;54;
16G180309: Gosende;190;16;238;55;14;129;92;6;
16G180312: Mões;80;253;321;461;26;7420;524;38;
16G180313: Moledo;36;138;648;483;6;186682;376;34;
16G180314: Monteiras;21;11;244;235;- -;120;59;56;
16G180317: Pepim;15;36;209;83;3;249;92;3;
16G180319: Pinheiro;74;90;336;298;15;373;407;85;
16G180322: São Joaninho;16;19;41;143;7;184;65;- -;
16G180323: União das freguesias de Mamouros, Alva e Ribolhos;121;356;570;188;7;184963;517;52;
16G180324: União das freguesias de Mezio e Moura Morta;143;12;225;200;4;153;152;66;
16G180325: União das freguesias de Parada de Ester e Ester;146;73;176;616;- -;596;268;236;
16G180326: União das freguesias de Picão e Ermida;45;21;214;106;8;160;128;21;
16G180327: União das freguesias de Reriz e Gafanhão;72;150;360;646;7;990;555;107;
16G1806: Mangualde;73;773;8390;660;100;102685;5593;201;
16G180601: Abrunhosa-a-Velha;6;8;782;24;8;38640;80;- -;
16G180602: Alcafache;- -;23;419;42;3;8977;208;24;
16G180605: Cunha Baixa;- -;113;499;76;29;1259;639;5;
16G180606: Espinho;7;462;1735;114;6;365;159;- -;
16G180607: Fornos de Maceira Dão;5;40;345;57;1;1461;2496;48;
16G180608: Freixiosa;- -;3;16;- -;7;67;23;- -;
16G180614: Quintela de Azurara;- -;4;81;- -;- -;30613;50;10;
16G180616: São João da Fresta;- -;8;295;23;- -;17216;96;- -;
16G180619: União das freguesias de Mangualde, Mesquitela e Cunha Alta;24;61;772;126;19;1995;764;26;
16G180620: União das freguesias de Moimenta de Maceira Dão e Lobelhe do Mato;9;17;488;81;- -;995;405;57;
16G180621: União das freguesias de Santiago de Cassurrães e Póvoa de Cervães;4;33;1507;93;6;697;318;21;
16G180622: União das freguesias de Tavares (Chãs, Várzea e Travanca);18;1;1451;24;21;400;355;10;
16G1809: Nelas;21;529;3739;417;68;276685;1938;104;
16G180901: Canas de Senhorim;3;19;1852;187;11;163504;350;39;
16G180908: Lapa do Lobo;- -;22;161;26;5;432;181;- -;
16G180903: Nelas;1;6;188;9;8;40080;349;38;
16G180905: Senhorim;12;129;582;92;17;1366;194;- -;
16G180910: União das freguesias de Carvalhal Redondo e Aguieira;2;26;150;9;14;17315;443;1;
16G180911: União das freguesias de Santar e Moreira;3;308;359;14;10;17602;288;- -;
16G180906: Vilar Seco;- -;19;447;80;3;36386;133;26;
16G1810: Oliveira de Frades;1582;1046;1458;2961;6;1744449;11645;515;
16G181002: Arcozelo das Maias;198;208;212;457;1;195899;4026;64;
16G181005: Pinheiro;296;104;144;153;- -;167050;443;30;
16G181007: Ribeiradio;228;146;139;395;2;42443;653;55;
16G181008: São João da Serra;103;45;115;531;- -;61447;125;5;
16G181009: São Vicente de Lafões;124;56;223;148;1;359994;910;23;
16G181013: União das freguesias de Arca e Varzielas;194;156;301;255;1;363395;4696;16;
16G181014: União das freguesias de Destriz e Reigoso;343;236;146;687;1;114418;514;298;
16G181015: União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães;96;95;178;335;- -;439803;278;24;
16G1811: Penalva do Castelo;207;213;2974;304;17;73284;1270;76;
16G181102: Castelo de Penalva;12;15;514;74;4;361;157;- -;
16G181103: Esmolfe;5;14;124;35;2;122;122;- -;
16G181104: Germil;2;5;153;19;- -;378;218;- -;
16G181105: Ínsua;17;41;334;13;2;531;108;- -;
16G181106: Lusinde;2;4;203;- -;- -;58;43;- -;
16G181109: Pindo;143;73;7;19;6;800;159;- -;
16G181110: Real;6;2;281;8;- -;188;99;13;
16G181111: Sezures;10;31;364;59;1;39910;90;7;
16G181112: Trancozelos;- -;3;84;5;- -;30238;41;- -;
16G181114: União das freguesias de Antas e Matela;10;22;481;67;2;480;188;56;
16G181115: União das freguesias de Vila Cova do Covelo/Mareco;- -;3;429;5;- -;218;45;- -;
16G1814: Santa Comba Dão;288;6537;2834;450;6;195152;19078;117;
16G181403: Pinheiro de Ázere;- -;10;321;31;- -;1542;62;- -;
16G181405: São Joaninho;1;92;245;41;4;140140;4635;10;
16G181406: São João de Areias;8;1108;738;186;- -;6338;11233;12;
16G181410: União das freguesias de Ovoa e Vimieiro;207;5093;488;86;1;663;2581;44;
16G181411: União das freguesias de Santa Comba Dão e Couto do Mosteiro;39;154;480;67;- -;1524;250;16;
16G181412: União das freguesias de Treixedo e Nagozela;33;80;562;39;1;44945;317;35;
16G1816: São Pedro do Sul;1975;2096;4093;5547;65;1257070;7111;1147;
16G181602: Bordonhos;121;954;25;76;1;18370;83;50;
16G181606: Figueiredo de Alva;26;124;340;166;1;7554;421;22;
16G181607: Manhouce;576;21;81;571;- -;13598;230;128;
16G181608: Pindelo dos Milagres;22;192;51;88;1;246501;411;19;
16G181609: Pinho;64;74;331;109;6;10756;449;41;
16G181612: São Félix;82;29;118;81;- -;19845;104;4;
16G181615: Serrazes;46;53;77;192;- -;190782;204;57;
16G181616: Sul;52;77;368;614;4;99756;1771;61;
16G181620: União das freguesias de Carvalhais e Candal;279;134;352;636;16;503412;749;183;
16G181621: União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões;203;129;263;724;4;21656;741;125;
16G181622: União das freguesias de São Martinho das Moitas e Covas do Rio;93;19;570;1616;3;667;224;287;
16G181623: União das freguesias de São Pedro do Sul, Várzea e Baiões;195;109;670;128;16;1749;535;61;
16G181617: Valadares;83;40;467;397;1;23209;706;55;
16G181619: Vila Maior;133;141;380;149;12;99215;483;54;
16G1817: Sátão;1109;1186;2259;1148;87;609614;11697;340;
16G181702: Avelal;86;80;45;53;2;305;118;6;
16G181704: Ferreira de Aves;515;426;1271;693;9;151755;893;169;
16G181706: Mioma;12;109;108;24;9;15520;247;17;
16G181707: Rio de Moinhos;276;34;74;61;4;15676;177;9;
16G181709: São Miguel de Vila Boa;42;129;92;24;22;20559;397;9;
16G181710: Sátão;80;174;382;185;23;1419;894;7;
16G181711: Silvã de Cima;2;14;3;5;4;80212;7820;- -;
16G181713: União das freguesias de Águas Boas e Forles;31;68;7;20;- -;25621;152;65;
16G181714: União das freguesias de Romãs, Decermilo e Vila Longa;65;152;277;83;14;298547;999;58;
16G1821: Tondela;862;1840;9947;2265;37;1503138;6606;662;
16G182102: Campo de Besteiros;17;56;258;44;- -;3308;499;1;
16G182103: Canas de Santa Maria;31;103;1234;94;3;99510;526;45;
16G182105: Castelões;19;104;502;131;10;7814;478;- -;
16G182106: Dardavaz;6;190;348;52;1;189735;286;26;
16G182107: Ferreirós do Dão;2;24;39;132;2;346;30;- -;
16G182108: Guardão;199;40;124;138;1;524731;106;65;
16G182109: Lajeosa do Dão;- -;26;673;194;3;41517;634;113;
16G182110: Lobão da Beira;- -;29;969;49;- -;33181;157;18;
16G182111: Molelos;12;81;475;65;2;1087;277;31;
16G182116: Parada de Gonta;- -;3;13;9;- -;42422;48;- -;
16G182118: Santiago de Besteiros;8;95;477;188;- -;1275;687;25;
16G182122: Tonda;- -;19;245;12;3;819;206;5;
16G182127: União das freguesias de Barreiro de Besteiros e Tourigo;82;516;1503;190;2;194896;511;102;
16G182128: União das freguesias de Caparrosa e Silvares;46;106;396;382;2;45473;653;66;
16G182129: União das freguesias de Mouraz e Vila Nova da Rainha;7;133;734;36;2;8448;239;4;
16G182130: União das freguesias de São João do Monte e Mosteirinho;306;185;273;340;- -;1477;301;53;
16G182131: União das freguesias de São Miguel do Outeiro e Sabugosa;31;28;488;13;1;72707;266;25;
16G182132: União das freguesias de Tondela e Nandufe;6;40;600;113;1;181909;282;47;
16G182133: União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas;90;62;596;83;4;52483;420;36;
16G1822: Vila Nova de Paiva;724;373;1888;1990;153;409099;14497;160;
16G182203: Pendilhe;16;11;339;323;33;390;59;117;
16G182204: Queiriga;11;33;175;94;1;25456;199;5;
16G182205: Touro;452;224;553;469;6;238915;13525;5;
16G182208: União das freguesias de Vila Nova de Paiva, Alhais e Fráguas;151;80;587;336;42;80811;457;12;
16G182206: Vila Cova à Coelheira;94;25;234;768;71;63527;257;21;
16G1823: Viseu;620;1154;9574;1164;151;397718;9780;796;
16G182301: Abraveses;4;24;265;8;7;593;180;39;
16G182304: Bodiosa;14;71;362;74;- -;40958;507;5;
16G182305: Calde;40;75;684;177;2;32788;325;130;
16G182306: Campo;8;21;331;33;1;689;251;39;
16G182307: Cavernães;37;55;377;42;7;28483;291;- -;
16G182310: Cota;8;67;1056;207;10;129856;1099;65;
16G182337: Coutos de Viseu;22;23;262;18;1;8680;141;12;
16G182315: Fragosela;- -;28;190;4;7;8567;187;8;
16G182316: Lordosa;29;46;607;15;- -;14653;309;13;
