
Quadro extraído em 17 de Outubro de 2022 (00:03:55)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Volume de trabalho da mão-de-obra agrícola (UTA) por Localização geográfica (NUTS - 2013) e Tipo de mão-de-obra -  Decenal (2) ;;;;;;;;;
;Período de referência dos dados;;;;;;;;;
;2009;;;;;;;;;
;Tipo de mão-de-obra;;;;;;;;;
;Mão-de-obra agrícola total;Mão-de-obra agrícola familiar;Produtor;Cônjuge;Outros membros da família;Mão-de-obra agrícola não familiar;Permanente;Eventual;Mão-de-obra não contratada pelo produtor;
;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);20;17;9;7;1;3;3;0;0;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);2;2;1;1;0;0;0;0;0;
112030366: União das freguesias de Cabreiros e Passos (São Julião);113;109;48;33;28;4;0;4;0;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;64;62;31;24;7;3;0;2;0;
112030368: União das freguesias de Crespos e Pousada;93;72;43;16;13;21;12;8;1;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);104;69;37;20;11;35;29;6;0;
112030370: União das freguesias de Este (São Pedro e São Mamede);94;88;40;25;24;6;3;2;1;
112030371: União das freguesias de Ferreiros e Gondizalves;44;39;15;12;12;5;2;3;0;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);36;30;17;6;7;7;3;4;0;
112030373: União das freguesias de Lomar e Arcos;35;32;17;11;4;3;2;1;0;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;99;96;42;35;19;4;3;0;0;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;76;63;27;19;16;14;13;0;0;
112030376: União das freguesias de Morreira e Trandeiras;80;70;30;22;17;10;8;1;0;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;53;45;20;11;14;8;6;2;0;
112030378: União das freguesias de Nogueiró e Tenões;51;30;11;9;10;21;20;0;0;
112030379: União das freguesias de Real, Dume e Semelhe;145;128;51;42;35;17;12;5;1;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;36;26;14;8;5;10;7;3;0;
112030381: União das freguesias de Vilaça e Fradelos;54;52;28;15;9;2;0;2;0;
1120306: Esposende;1549;1457;681;455;321;92;48;37;7;
112030601: Antas;61;58;31;9;18;4;0;3;0;
112030608: Forjães;115;101;44;35;23;13;6;7;1;
112030610: Gemeses;88;86;39;33;15;1;0;1;0;
112030616: União das freguesias de Apúlia e Fão;406;378;172;125;80;29;16;12;1;
112030617: União das freguesias de Belinho e Mar;172;160;82;49;29;12;5;6;2;
112030618: União das freguesias de Esposende, Marinhas e Gandra;245;243;103;81;59;2;0;1;1;
112030619: União das freguesias de Fonte Boa e Rio Tinto;276;266;125;76;65;10;7;2;2;
112030620: União das freguesias de Palmeira de Faro e Curvos;112;99;50;33;16;14;9;4;0;
112030615: Vila Chã;73;67;35;15;17;6;5;1;0;
1120310: Terras de Bouro;797;760;346;237;178;37;17;18;2;
112031001: Balança;40;37;17;14;6;3;0;3;0;
112031003: Campo do Gerês;9;8;3;1;3;1;1;0;0;
112031004: Carvalheira;63;62;26;17;18;1;0;0;0;
112031008: Covide;43;40;20;14;6;3;2;0;0;
112031009: Gondoriz;47;45;20;13;12;2;1;1;0;
112031010: Moimenta;25;23;11;7;6;2;1;1;0;
112031012: Ribeira;29;25;11;6;8;4;0;3;0;
112031013: Rio Caldo;62;59;23;17;18;4;3;1;0;
112031014: Souto;61;58;29;18;11;3;0;3;0;
112031018: União das freguesias de Chamoim e Vilar;102;99;42;31;26;3;0;3;0;
112031019: União das freguesias de Chorense e Monte;120;118;57;43;17;3;1;1;0;
112031020: União das freguesias de Cibões e Brufe;98;97;43;27;27;2;1;0;0;
112031015: Valdosende;43;42;21;16;6;0;0;0;0;
112031017: Vilar da Veiga;55;48;23;13;13;7;6;1;0;
1120313: Vila Verde;2947;2731;1342;869;521;216;105;101;10;
