
Quadro extraído em 11 de Outubro de 2022 (08:46:18)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície das culturas temporárias (ha) por Localização geográfica (NUTS - 2013), Tipo (culturas temporárias) e Importância -  Decenal (1) ;
;;Tipo (culturas temporárias);
;;Total;
;;Importância;
;;Total;
;;ha ;
;119031213: Delães;59;
;119031215: Fradelos;1146;
;119031216: Gavião;138;
;119031219: Joane;173;
;119031221: Landim;146;
;119031223: Louro;411;
;119031224: Lousado;59;
;119031225: Mogege;53;
;119031227: Nine;278;
;119031239: Oliveira (Santa Maria);103;
;119031242: Oliveira (São Mateus);9;
;119031230: Pedome;87;
;119031232: Pousada de Saramagos;3;
;119031233: Requião;231;
;119031234: Riba de Ave;14;
;119031235: Ribeirão;227;
;119031250: União das freguesias de Antas e Abade de Vermoim;242;
;119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;373;
;119031252: União das freguesias de Avidos e Lagoa;243;
;119031253: União das freguesias de Carreira e Bente;91;
;119031254: União das freguesias de Esmeriz e Cabeçudos;248;
;119031255: União das freguesias de Gondifelos, Cavalões e Outiz;942;
;119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;487;
;119031257: União das freguesias de Ruivães e Novais;177;
;119031258: União das freguesias de Seide;168;
;119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;470;
;119031260: União das freguesias de Vila Nova de Famalicão e Calendário;99;
;119031241: Vale (São Martinho);192;
;119031247: Vermoim;71;
;119031249: Vilarinho das Cambas;358;
;1190314: Vizela;458;
;119031404: Infias;20;
;119031401: Santa Eulália;97;
;119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);95;
;119031409: União das freguesias de Tagilde e Vizela (São Paio);173;
;119031406: Vizela (Santo Adrião);73;
;11A: Área Metropolitana do Porto;40129;
;11A0104: Arouca;2606;
;11A010402: Alvarenga;193;
;11A010407: Chave;234;
;11A010409: Escariz;371;
;11A010411: Fermedo;170;
;11A010413: Mansores;214;
;11A010414: Moldes;208;
;11A010415: Rossas;116;
;11A010416: Santa Eulália;180;
;11A010417: São Miguel do Mato;99;
;11A010418: Tropeço;200;
;11A010421: União das freguesias de Arouca e Burgo;211;
;11A010422: União das freguesias de Cabreiros e Albergaria da Serra;48;
;11A010423: União das freguesias de Canelas e Espiunca;124;
;11A010424: União das freguesias de Covelo de Paivó e Janarde;54;
;11A010419: Urrô;138;
;11A010420: Várzea;46;
;11A0107: Espinho;66;
;11A010702: Espinho;- -;
;11A010704: Paramos;39;
;11A010705: Silvalde;20;
;11A010706: União das freguesias de Anta e Guetim;7;
;11A1304: Gondomar;1156;
;11A130412: Baguim do Monte (Rio Tinto);76;
;11A130405: Lomba;44;
;11A130408: Rio Tinto;174;
;11A130413: União das freguesias de Fânzeres e São Pedro da Cova;177;
;11A130414: União das freguesias de Foz do Sousa e Covelo;163;
;11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;346;
;11A130416: União das freguesias de Melres e Medas;176;
;11A1306: Maia;2771;
;11A130601: Águas Santas;232;
;11A130618: Castêlo da Maia;953;
;11A130619: Cidade da Maia;83;
;11A130603: Folgosa;266;
;11A130608: Milheirós;61;
;11A130609: Moreira;309;
;11A130620: Nogueira e Silva Escura;318;
;11A130617: Pedrouços;25;
;11A130613: São Pedro Fins;238;
;11A130616: Vila Nova da Telha;286;
;11A1308: Matosinhos;1949;
;11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;600;
;11A130812: União das freguesias de Matosinhos e Leça da Palmeira;46;
;11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;1199;
;11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;105;
;11A0113: Oliveira de Azeméis;2618;
;11A011301: Carregosa;167;
;11A011302: Cesar;19;
;11A011303: Fajões;174;
;11A011304: Loureiro;792;
;11A011305: Macieira de Sarnes;24;
;11A011310: Ossela;88;
;11A011315: São Martinho da Gândara;590;
;11A011318: São Roque;104;
;11A011320: União das freguesias de Nogueira do Cravo e Pindelo;69;
;11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;279;
;11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;148;
;11A011319: Vila de Cucujães;164;
;11A1310: Paredes;2034;
;11A131001: Aguiar de Sousa;69;
;11A131002: Astromil;46;
;11A131003: Baltar;78;
;11A131004: Beire;120;
;11A131008: Cete;81;
;11A131009: Cristelo;25;
;11A131010: Duas Igrejas;79;
;11A131011: Gandra;137;
;11A131013: Lordelo;79;
;11A131014: Louredo;44;
;11A131017: Parada de Todeia;33;
;11A131025: Paredes;686;
;11A131018: Rebordosa;107;
;11A131019: Recarei;113;
;11A131020: Sobreira;117;
;11A131021: Sobrosa;72;
;11A131022: Vandoma;72;
;11A131024: Vilela;77;
;11A1312: Porto;43;
;11A131202: Bonfim;- -;
;11A131203: Campanhã;7;
;11A131210: Paranhos;25;
;11A131211: Ramalde;10;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;- -;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;1;
;11A1313: Póvoa de Varzim;5553;
;11A131305: Balazar;1356;
;11A131307: Estela;597;
;11A131308: Laundos;545;
;11A131311: Rates;1510;
;11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;449;
;11A131314: União das freguesias de Aguçadoura e Navais;272;
;11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;822;
;11A0109: Santa Maria da Feira;1821;
;11A010901: Argoncilhe;60;
;11A010902: Arrifana;44;
;11A010904: Escapães;14;
;11A010907: Fiães;25;
;11A010908: Fornos;14;
;11A010913: Lourosa;19;
;11A010914: Milheirós de Poiares;75;
;11A010916: Mozelos;37;
;11A010917: Nogueira da Regedoura;4;
;11A010919: Paços de Brandão;4;
