
Statistical table extracted on October 16, 2022 (17:31:19)
http://www.ine.pt



Geographic localization (NUTS -2013);Livestock (No.) of agricultural holdings by Geographic localization (NUTS -2013) and Animal specie -  Decennial (1) ;;;;;;;;
;Data reference period;;;;;;;;
;2019;;;;;;;;
;Animal specie;;;;;;;;
;Cattle;Pigs;Sheep;Goats;Equidae;Poultry;Rabbits;Inhabited hives and traditional cork hives;
;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);920;11;68;11;3;1185;259;246;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);1547;7;31;23;- -;758;79;132;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;264;3;12;3;3;679;187;- -;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;3447;20;20;2;1;1561;304;142;
1120302FH: União das freguesias de Vila Cova e Feitos;1176;3;22;171;- -;1284;208;47;
112030283: Várzea;245;- -;54;- -;14;456;174;50;
112030287: Vila Seca;991;6;- -;- -;4;903;222;1;
1120303: Braga;6836;344;2219;721;179;26165;16510;1089;
112030301: Adaúfe;155;9;87;77;2;1044;237;- -;
112030349: Braga (São Vicente);- -;- -;- -;- -;- -;- -;- -;- -;
112030351: Braga (São Vítor);- -;11;7;10;- -;50;- -;10;
112030312: Espinho;223;8;92;5;12;628;138;113;
112030313: Esporões;192;11;34;36;4;807;207;45;
112030315: Figueiredo;249;3;2;9;- -;341;57;48;
112030319: Gualtar;- -;- -;- -;- -;- -;20;35;- -;
112030322: Lamas;32;6;17;- -;- -;388;86;135;
112030325: Mire de Tibães;160;7;39;2;1;891;162;43;
112030330: Padim da Graça;58;2;- -;- -;3;467;84;- -;
112030331: Palmeira;309;18;37;35;20;954;184;21;
112030334: Pedralva;724;9;115;43;11;812;266;10;
112030336: Priscos;116;15;38;11;1;430;45;205;
112030338: Ruilhe;191;13;31;25;- -;675;245;- -;
112030354: Sequeira;333;8;125;16;1;1161;357;- -;
112030355: Sobreposta;233;10;161;38;1;783;258;14;
112030356: Tadim;7;- -;7;6;- -;166;4;- -;
112030357: Tebosa;4;4;19;4;- -;272;31;- -;
112030363: União das freguesias de Arentim e Cunha;800;14;44;27;2;1127;316;4;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);69;- -;5;1;- -;196;50;2;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;- -;- -;- -;- -;- -;- -;- -;
112030366: União das freguesias de Cabreiros e Passos (São Julião);46;24;190;31;40;2839;788;154;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;130;37;66;24;2;1395;478;37;
112030368: União das freguesias de Crespos e Pousada;221;10;127;25;2;402;15;- -;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);938;21;4;28;6;2336;10190;26;
112030370: União das freguesias de Este (São Pedro e São Mamede);114;11;304;84;11;881;280;20;
112030371: União das freguesias de Ferreiros e Gondizalves;76;11;31;12;- -;546;56;- -;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);244;9;- -;1;3;347;98;- -;
112030373: União das freguesias de Lomar e Arcos;81;11;22;13;3;318;49;32;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;389;14;33;16;7;1871;875;80;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;238;5;- -;6;- -;369;151;- -;
112030376: União das freguesias de Morreira e Trandeiras;49;4;25;11;33;841;207;1;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;30;4;170;37;- -;562;146;1;
112030378: União das freguesias de Nogueiró e Tenões;4;- -;173;9;- -;396;88;7;
112030379: União das freguesias de Real, Dume e Semelhe;212;27;151;26;11;1136;299;1;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;145;1;17;51;1;267;4;- -;
112030381: União das freguesias de Vilaça e Fradelos;64;7;46;2;2;447;24;80;
1120306: Esposende;5586;109;464;178;19;15681;3057;460;
112030601: Antas;92;11;64;- -;1;738;215;59;
112030608: Forjães;68;7;134;18;5;1422;376;32;
112030610: Gemeses;365;7;10;6;- -;1730;264;8;
112030616: União das freguesias de Apúlia e Fão;310;9;- -;- -;- -;1310;230;62;
112030617: União das freguesias de Belinho e Mar;149;8;25;3;1;1439;305;7;
112030618: União das freguesias de Esposende, Marinhas e Gandra;1831;8;61;86;3;1804;291;77;
112030619: União das freguesias de Fonte Boa e Rio Tinto;2205;32;10;17;1;3495;418;70;
112030620: União das freguesias de Palmeira de Faro e Curvos;457;22;77;34;8;2459;651;141;
112030615: Vila Chã;109;5;83;14;- -;1284;307;4;
1120310: Terras de Bouro;1767;274;1010;3984;238;5848;29695;2069;
112031001: Balança;74;10;27;- -;17;443;10769;7;
112031003: Campo do Gerês;85;5;48;5;22;78;8;432;
112031004: Carvalheira;111;- -;61;663;5;336;62;132;
112031008: Covide;141;2;72;1357;11;382;24;333;
112031009: Gondoriz;102;4;41;198;4;404;160;43;
112031010: Moimenta;2;7;45;- -;6;230;14;45;
112031012: Ribeira;22;6;25;9;2;194;10;- -;
112031013: Rio Caldo;169;31;33;259;11;323;1375;266;
112031014: Souto;12;6;58;15;5;429;12120;- -;
112031018: União das freguesias de Chamoim e Vilar;145;21;368;- -;34;742;4688;94;
112031019: União das freguesias de Chorense e Monte;409;53;86;957;23;1051;165;199;
112031020: União das freguesias de Cibões e Brufe;326;31;45;147;77;398;84;4;
112031015: Valdosende;90;42;82;17;18;384;71;111;
112031017: Vilar da Veiga;79;56;19;357;3;454;145;403;
1120313: Vila Verde;4593;673;3737;1074;141;89233;91668;3110;
112031359: Aboim da Nóbrega e Gondomar;202;23;275;73;26;906;92;106;
112031304: Atiães;365;4;73;3;- -;559;118;5;
112031308: Cabanelas;358;7;39;12;- -;586;38;- -;
112031309: Cervães;97;15;251;17;1;944;63;9;
112031311: Coucieiro;326;14;45;87;1;310;15;87;
112031313: Dossãos;23;5;55;3;2;346;73;32;
112031316: Freiriz;20;6;88;6;2;493;124;8;
112031317: Gême;12;1;9;25;1;325;24;12;
112031323: Lage;151;37;186;20;5;564;282;8;
112031324: Lanhas;61;- -;24;- -;1;311;115;144;
112031325: Loureira;31;- -;27;34;5;134;35;5;
112031328: Moure;99;3;107;43;4;527;73;167;
112031330: Oleiros;76;16;124;23;5;434;25;- -;
112031331: Parada de Gatim;74;2;35;3;- -;392;79;- -;
112031335: Pico;109;5;55;6;2;598;64;- -;
112031337: Ponte;40;5;14;7;- -;509;81;6;
112031350: Prado (São Miguel);42;5;21;73;5;690;21;17;
112031340: Sabariz;8;- -;6;- -;3;192;11;11;
112031352: Soutelo;321;48;44;7;1;593;156;5;
112031354: Turiz;177;6;103;11;1;649;89;6;
112031360: União das freguesias da Ribeira do Neiva;446;138;538;128;22;7711;609;377;
112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);42;19;99;21;- -;586;30;- -;
