
Statistical table extracted on October 10, 2022 (16:35:08)
http://www.ine.pt



Geographic localization (NUTS -2013);Utilised agricultural area (ha) by Geographic localization (NUTS -2013) and Legal form -  Decennial (1) ;;;;
;Data reference period;;;;
;2009;;;;
;Legal form;;;;
;Natural person (sole holder);Group of natural persons (group holding);Fallow land comissions;Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...);
;ha ;ha ;ha ;ha ;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;145;0;- -;- -;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;172;48;- -;- -;
112030128: União das freguesias de Torre e Portela;59;- -;- -;- -;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;211;- -;- -;- -;
1120302: Barcelos;9674;1241;- -;70;
112030201: Abade de Neiva;156;25;- -;- -;
112030202: Aborim;55;- -;- -;- -;
112030203: Adães;91;12;- -;- -;
112030205: Airó;80;- -;- -;- -;
112030206: Aldreu;83;24;- -;- -;
112030208: Alvelos;107;- -;- -;- -;
112030209: Arcozelo;44;- -;- -;7;
112030210: Areias;25;- -;- -;- -;
112030212: Balugães;43;9;- -;- -;
112030213: Barcelinhos;22;40;- -;7;
112030215: Barqueiros;178;34;- -;- -;
112030216: Cambeses;108;11;- -;- -;
112030218: Carapeços;82;4;- -;- -;
112030220: Carvalhal;91;- -;- -;- -;
112030221: Carvalhas;84;12;- -;- -;
112030224: Cossourado;147;- -;- -;- -;
112030228: Cristelo;397;116;- -;- -;
112030234: Fornelos;153;15;- -;- -;
112030235: Fragoso;139;0;- -;- -;
112030268: Galegos (Santa Maria);51;- -;- -;- -;
112030272: Galegos (São Martinho);59;- -;- -;- -;
112030237: Gilmonde;115;- -;- -;- -;
112030242: Lama;56;- -;- -;- -;
112030243: Lijó;181;- -;- -;1;
112030244: Macieira de Rates;457;27;- -;- -;
112030245: Manhente;72;195;- -;- -;
112030247: Martim;94;- -;- -;- -;
112030252: Moure;117;0;- -;- -;
112030254: Oliveira;96;10;- -;- -;
112030255: Palme;111;- -;- -;- -;
112030256: Panque;112;- -;- -;- -;
112030257: Paradela;318;20;- -;- -;
112030259: Pereira;43;5;- -;- -;
112030260: Perelhal;98;20;- -;- -;
112030261: Pousa;152;- -;- -;- -;
112030263: Remelhe;178;10;- -;- -;
112030265: Rio Covo (Santa Eugénia);114;- -;- -;- -;
112030264: Roriz;251;52;- -;- -;
112030279: Silva;60;- -;- -;12;
112030277: Tamel (São Veríssimo);53;- -;- -;- -;
112030282: Ucha;124;33;- -;- -;
112030290: União das freguesias de Alheira e Igreja Nova;131;- -;- -;- -;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;169;68;- -;- -;
112030292: União das freguesias de Areias de Vilar e Encourados;125;32;- -;33;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);254;8;- -;11;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);117;14;- -;- -;
112030295: União das freguesias de Carreira e Fonte Coberta;241;41;- -;- -;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;771;90;- -;- -;
112030297: União das freguesias de Creixomil e Mariz;152;20;- -;- -;
112030298: União das freguesias de Durrães e Tregosa;83;4;- -;- -;
112030299: União das freguesias de Gamil e Midões;126;- -;- -;- -;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;402;28;- -;- -;
1120302FB: União das freguesias de Negreiros e Chavão;322;30;- -;- -;
1120302FC: União das freguesias de Quintiães e Aguiar;134;- -;- -;- -;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);233;- -;- -;- -;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);241;72;- -;- -;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;102;3;- -;- -;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;493;94;- -;- -;
1120302FH: União das freguesias de Vila Cova e Feitos;347;30;- -;- -;
112030283: Várzea;72;- -;- -;- -;
112030287: Vila Seca;161;31;- -;- -;
1120303: Braga;3332;318;- -;39;
112030301: Adaúfe;237;25;- -;- -;
112030349: Braga (São Vicente);- -;- -;- -;- -;
112030351: Braga (São Vítor);2;- -;- -;4;
112030312: Espinho;98;- -;- -;- -;
112030313: Esporões;69;20;- -;- -;
112030315: Figueiredo;44;- -;- -;- -;
112030319: Gualtar;7;- -;- -;- -;
112030322: Lamas;29;- -;- -;- -;
112030325: Mire de Tibães;106;4;- -;- -;
112030330: Padim da Graça;52;- -;- -;- -;
112030331: Palmeira;175;22;- -;- -;
112030334: Pedralva;134;26;- -;- -;
112030336: Priscos;117;10;- -;- -;
112030338: Ruilhe;47;- -;- -;9;
112030354: Sequeira;84;0;- -;8;
112030355: Sobreposta;98;- -;- -;- -;
112030356: Tadim;17;12;- -;- -;
112030357: Tebosa;40;- -;- -;- -;
112030363: União das freguesias de Arentim e Cunha;174;11;- -;- -;
